ZEIT,PRESS_FILTER,HEIGHT_FILTER,PRESS RAW [hpa],HEIGHT RAW [m],ACCEL,SPEED,EVENT,EVENT,VOLT. CHANNEL,VOLTAGE [V]
0.115,99750.2421875,20.3614196777344,99750,20.3817901611328,2.4525,0,0,RAMPE,4,10.9235861176025
0.12,99750.3984375,20.3481903076172,99759,19.6231842041016,0,0,0,RAMPE,5,0
0.125,99750.59375,20.3313903808594,99761,19.4541473388672,3.7278,0,0,RAMPE,1,12.1657355914746
0.13,99750.40625,20.34716796875,99740,21.2249755859375,-3.0411,0,0,RAMPE,2,0.501497970722656
0.135,99750.5546875,20.3349456787109,99759,19.6231842041016,-0.5886,0,0,RAMPE,3,10.9235861176025
0.14,99750.515625,20.3379974365234,99748,20.5503234863281,1.8639,0,0,RAMPE,4,10.9235861176025
0.145,99750.5078125,20.3390197753906,99750,20.3817901611328,-0.5886,0,0,RAMPE,5,0
0.15,99750.46875,20.3420715332031,99748,20.5503234863281,0,0,0,RAMPE,1,12.1657355914746
0.155,99750.6171875,20.3298492431641,99759,19.6231842041016,0.5886,0,0,RAMPE,2,0.496162885927734
0.16,99750.578125,20.3329162597656,99748,20.5503234863281,1.8639,0,0,RAMPE,3,10.9235861176025
0.165,99750.4453125,20.3441162109375,99743,20.9719085693359,1.8639,0,0,RAMPE,4,10.9235861176025
0.17,99750.3125,20.3553161621094,99743,20.9719085693359,1.8639,0,0,RAMPE,5,0
0.175,99750.2734375,20.3583679199219,99748,20.5503234863281,0.5886,0,0,RAMPE,1,12.1625928026367
0.18,99750.234375,20.3619384765625,99748,20.5503234863281,-0.5886,0,0,RAMPE,2,0.501497970722656
0.185,99750.109375,20.3726196289063,99743,20.9719085693359,-0.5886,0,0,RAMPE,3,10.9235861176025
0.19,99750.015625,20.3802642822266,99745,20.8033752441406,-1.8639,0,0,RAMPE,4,10.9235861176025
0.195,99750.0859375,20.3746643066406,99754,20.0442199707031,-1.2753,0,0,RAMPE,5,0
0.2,99750.2421875,20.3614196777344,99759,19.6231842041016,-1.8639,0,0,RAMPE,1,12.153164436123
0.205,99750.1171875,20.3716125488281,99743,20.9719085693359,-0.5886,0,0,RAMPE,2,0.501497970722656
0.21,99750.1796875,20.3665161132813,99754,20.0442199707031,-0.5886,0,0,RAMPE,3,10.9235861176025
0.215,99750.1484375,20.3690643310547,99748,20.5503234863281,-0.5886,0,0,RAMPE,4,10.9235861176025
0.22,99750.3046875,20.3558197021484,99759,19.6231842041016,0,0,0,RAMPE,5,0
0.225,99750.5546875,20.3349456787109,99764,19.2016296386719,0,0,0,RAMPE,1,12.1657355914746
0.23,99750.4609375,20.3425903320313,99745,20.8033752441406,-0.5886,0,0,RAMPE,2,0.496162885927734
0.235,99750.609375,20.3303680419922,99759,19.6231842041016,0.5886,0,0,RAMPE,3,10.9235861176025
0.24,99750.671875,20.3247680664063,99754,20.0442199707031,0.5886,0,0,RAMPE,4,10.9235861176025
0.245,99750.4453125,20.3441162109375,99738,21.3935241699219,0.5886,0,0,RAMPE,5,0
0.25,99750.59375,20.3313903808594,99759,19.6231842041016,0.5886,0,0,RAMPE,1,12.1688783803125
0.255,99750.40625,20.34716796875,99740,21.2249755859375,1.2753,0,0,RAMPE,2,0.504165513120117
0.26,99750.359375,20.3512420654297,99748,20.5503234863281,0.5886,0,0,RAMPE,3,10.9235861176025
0.265,99750.3203125,20.3547973632813,99748,20.5503234863281,1.2753,0,0,RAMPE,4,10.9235861176025
0.27,99750.3828125,20.3491973876953,99754,20.0442199707031,0.5886,0,0,RAMPE,5,0
0.275,99750.34375,20.3527679443359,99748,20.5503234863281,0.5886,0,0,RAMPE,1,12.1783067468262
0.28,99750.3046875,20.3558197021484,99748,20.5503234863281,0,0,0,RAMPE,2,0.498830428325195
0.285,99750.40625,20.34716796875,99756,19.8757019042969,0.5886,0,0,RAMPE,3,10.9235861176025
0.29,99750.3671875,20.3507385253906,99748,20.5503234863281,0,0,0,RAMPE,4,10.9235861176025
0.295,99750.5234375,20.3374938964844,99759,19.6231842041016,0.5886,0,0,RAMPE,5,0
0.3,99750.6796875,20.3242492675781,99759,19.6231842041016,0,0,0,RAMPE,1,12.1720211691504
0.305,99750.7421875,20.3191680908203,99754,20.0442199707031,0,0,0,RAMPE,2,0.498830428325195
0.31,99750.515625,20.3379974365234,99738,21.3935241699219,0,0,0,RAMPE,3,10.9235861176025
0.315,99750.234375,20.3619384765625,99735,21.6461029052734,0,0,0,RAMPE,4,10.9235861176025
0.32,99750.296875,20.3568420410156,99754,20.0442199707031,0.5886,0,0,RAMPE,5,0
0.325,99750.453125,20.3435974121094,99759,19.6231842041016,0.5886,0,0,RAMPE,1,12.1720211691504
0.33,99750.359375,20.3512420654297,99745,20.8033752441406,0.5886,0,0,RAMPE,2,0.504165513120117
0.335,99750.171875,20.3670196533203,99740,21.2249755859375,0.5886,0,0,RAMPE,3,10.9235861176025
0.34,99749.984375,20.3828125,99740,21.2249755859375,0,0,0,RAMPE,4,10.9235861176025
0.345,99749.984375,20.3828125,99750,20.3817901611328,0.5886,0,0,RAMPE,5,0
0.35,99750.09375,20.3736419677734,99756,19.8757019042969,0.5886,0,0,RAMPE,1,12.1688783803125
0.355,99750.0078125,20.3807678222656,99745,20.8033752441406,0.5886,0,0,RAMPE,2,0.496162885927734
0.36,99750.1640625,20.3680419921875,99759,19.6231842041016,1.8639,0,0,RAMPE,3,10.9235861176025
0.365,99750.234375,20.3619384765625,99754,20.0442199707031,-0.5886,0,0,RAMPE,4,10.9235861176025
0.37,99750.390625,20.3486938476563,99759,19.6231842041016,1.2753,0,0,RAMPE,5,0
0.375,99750.296875,20.3568420410156,99745,20.8033752441406,0,0,0,RAMPE,1,12.1783067468262
0.38,99750.296875,20.3568420410156,99750,20.3817901611328,1.8639,0,0,RAMPE,2,0.496162885927734
0.385,99750.296875,20.3568420410156,99750,20.3817901611328,2.4525,0,0,RAMPE,3,10.9235861176025
0.39,99750.453125,20.3435974121094,99759,19.6231842041016,3.7278,0,0,RAMPE,4,10.9235861176025
0.395,99750.828125,20.3120422363281,99771,18.6116180419922,6.1803,0,0,RAMPE,5,0
0.4,99750.9296875,20.3033752441406,99756,19.8757019042969,8.6328,0,0,RAMPE,1,12.1751639579883
0.405,99751.3046875,20.2718200683594,99771,18.6116180419922,12.2625,0,0,RAMPE,2,0.498830428325195
0.41,99751.546875,20.2514495849609,99764,19.2016296386719,8.6328,0,0,RAMPE,3,10.9235861176025
0.415,99751.90625,20.2209014892578,99771,18.6116180419922,-22.0725,0,0,RAMPE,4,10.9235861176025
0.42,99752.7421875,20.150634765625,99797,16.4203033447266,-21.4839,0,0,RAMPE,5,0
0.425,99752.5078125,20.1704864501953,99738,21.3935241699219,9.81,0,0,RAMPE,1,12.1468788584473
0.43,99751.78125,20.2315826416016,99712,23.5858764648438,7.3575,0,0,RAMPE,2,0.496162885927734
0.435,99751.5625,20.2499237060547,99740,21.2249755859375,-4.905,0,0,RAMPE,3,10.9235861176025
0.44,99751.828125,20.2275238037109,99766,19.0326232910156,-2.4525,0,0,RAMPE,4,10.9235861176025
0.445,99751.4296875,20.2611236572266,99729,22.1522674560547,4.3164,0,0,RAMPE,5,0
0.45,99751.1328125,20.2860717773438,99735,21.6461029052734,0,0,0,RAMPE,1,12.1688783803125
0.455,99751.3671875,20.2662048339844,99764,19.2016296386719,-6.1803,0,0,RAMPE,2,0.501497970722656
0.46,99751.2265625,20.2784271240234,99743,20.9719085693359,0.5886,0,0,RAMPE,3,10.9235861176025
0.465,99751.0859375,20.2901458740234,99743,20.9719085693359,7.9461,0,0,RAMPE,4,10.9235861176025
0.47,99751.4140625,20.2626495361328,99769,18.7801208496094,-2.4525,0,0,RAMPE,5,0
0.475,99751.40625,20.2631530761719,99750,20.3817901611328,-4.905,0,0,RAMPE,1,12.1751639579883
0.48,99751.2109375,20.2794494628906,99740,21.2249755859375,2.4525,0,0,RAMPE,2,0.493495343530273
0.485,99750.71875,20.3211975097656,99724,22.5739288330078,4.3164,0,0,RAMPE,3,10.9235861176025
0.49,99750.890625,20.3064422607422,99761,19.4541473388672,5.4936,0,0,RAMPE,4,10.9235861176025
0.495,99750.703125,20.3222198486328,99740,21.2249755859375,3.7278,0,0,RAMPE,5,0
0.5,99750.6875,20.3237457275391,99750,20.3817901611328,-1.2753,0,0,RAMPE,1,12.1625928026367
0.505,99750.8359375,20.3110198974609,99759,19.6231842041016,-3.7278,0,0,RAMPE,2,0.496162885927734
0.51,99751.296875,20.2723236083984,99776,18.1901092529297,-0.5886,0,0,RAMPE,3,10.9235861176025
0.515,99751.203125,20.2804718017578,99745,20.8033752441406,3.7278,0,0,RAMPE,4,10.9235861176025
0.52,99750.71875,20.3211975097656,99724,22.5739288330078,3.0411,0,0,RAMPE,5,0
0.525,99749.9375,20.3868865966797,99708,23.9230499267578,0,0,0,RAMPE,1,12.1657355914746
0.53,99749.9921875,20.3822937011719,99754,20.0442199707031,2.4525,0,0,RAMPE,2,0.498830428325195
0.535,99750.5390625,20.3359680175781,99780,17.8526153564453,0.5886,0,0,RAMPE,3,10.9235861176025
0.54,99749.5,20.4240417480469,99693,25.1882934570313,-2.4525,0,0,RAMPE,4,10.9235861176025
0.545,99749.9453125,20.3863677978516,99775,18.2741088867188,0,0,0,RAMPE,5,0
0.55,99749.953125,20.3858642578125,99750,20.3817901611328,4.3164,0,0,RAMPE,1,12.1688783803125
0.555,99749.6875,20.4077606201172,99735,21.6461029052734,2.4525,0,0,RAMPE,2,0.488160258735352
0.56,99749.65625,20.4108123779297,99748,20.5503234863281,2.4525,0,0,RAMPE,3,10.9235861176025
0.565,99750.296875,20.3568420410156,99785,17.4316558837891,1.2753,0,0,RAMPE,4,10.9235861176025
0.57,99750.125,20.37109375,99740,21.2249755859375,-3.7278,0,0,RAMPE,5,0
0.575,99750.40625,20.34716796875,99766,19.0326232910156,-1.2753,0,0,RAMPE,1,12.1657355914746
0.58,99751.2578125,20.2753753662109,99797,16.4203033447266,-3.7278,0,0,RAMPE,2,0.496162885927734
0.585,99751.328125,20.269775390625,99754,20.0442199707031,-1.8639,0,0,RAMPE,3,10.9235861176025
0.59,99750.84375,20.3105010986328,99724,22.5739288330078,0,0,0,RAMPE,4,10.9235861176025
0.595,99751.109375,20.2881011962891,99766,19.0326232910156,0.5886,0,0,RAMPE,5,0
0.6,99750.6328125,20.3283233642578,99724,22.5739288330078,-2.4525,0,0,RAMPE,1,12.1751639579883
0.605,99751.28125,20.2738494873047,99787,17.2626647949219,0.5886,0,0,RAMPE,2,0.493495343530273
0.61,99749.953125,20.3858642578125,99677,26.5377655029297,-1.8639,0,0,RAMPE,3,10.9235861176025
0.615,99750.3828125,20.3491973876953,99775,18.2741088867188,-1.2753,0,0,RAMPE,4,10.9235861176025
0.62,99750.2578125,20.3598937988281,99743,20.9719085693359,-1.8639,0,0,RAMPE,5,0
0.625,99750.5390625,20.3359680175781,99766,19.0326232910156,-0.5886,0,0,RAMPE,1,12.1657355914746
0.63,99750.15625,20.3685455322266,99729,22.1522674560547,0.5886,0,0,RAMPE,2,0.504165513120117
0.635,99750.1484375,20.3690643310547,99750,20.3817901611328,-0.5886,0,0,RAMPE,3,10.9235861176025
0.64,99749.4921875,20.424560546875,99714,23.4172973632813,1.8639,0,0,RAMPE,4,10.9235861176025
0.645,99749.4921875,20.424560546875,99750,20.3817901611328,-1.2753,0,0,RAMPE,5,0
0.65,99749.234375,20.4464569091797,99735,21.6461029052734,0.5886,0,0,RAMPE,1,12.1814495356641
0.655,99749.4375,20.4291381835938,99761,19.4541473388672,1.2753,0,0,RAMPE,2,0.501497970722656
0.66,99748.984375,20.4673309326172,99724,22.5739288330078,1.8639,0,0,RAMPE,3,10.9235861176025
0.665,99749.1953125,20.4495086669922,99761,19.4541473388672,-0.5886,0,0,RAMPE,4,10.9235861176025
0.67,99748.6484375,20.4958343505859,99719,22.99560546875,0,0,0,RAMPE,5,0
0.675,99748.953125,20.4698791503906,99766,19.0326232910156,1.8639,0,0,RAMPE,1,12.1688783803125
0.68,99748.796875,20.4831085205078,99740,21.2249755859375,1.8639,0,0,RAMPE,2,0.501497970722656
0.685,99749.265625,20.4433898925781,99775,18.2741088867188,1.8639,0,0,RAMPE,3,10.9235861176025
0.690000000000001,99749.578125,20.4174346923828,99766,19.0326232910156,3.7278,0,0,RAMPE,4,10.9235861176025
0.695000000000001,99749.5859375,20.4164123535156,99750,20.3817901611328,0.5886,0,0,RAMPE,5,0
0.700000000000001,99749.1796875,20.4510345458984,99727,22.3208312988281,3.7278,0,0,RAMPE,1,12.1751639579883
0.705000000000001,99748.8828125,20.4759826660156,99733,21.8151550292969,1.2753,0,0,RAMPE,2,0.504165513120117
0.710000000000001,99748.71875,20.4897308349609,99740,21.2249755859375,1.8639,0,0,RAMPE,3,10.9235861176025
0.715000000000001,99748.1796875,20.5350494384766,99719,22.99560546875,-1.2753,0,0,RAMPE,4,10.9235861176025
0.720000000000001,99748.484375,20.5095825195313,99766,19.0326232910156,1.8639,0,0,RAMPE,5,0
0.725000000000001,99748.4296875,20.5141754150391,99745,20.8033752441406,-3.0411,0,0,RAMPE,1,12.1688783803125
0.730000000000001,99748.3671875,20.5192565917969,99745,20.8033752441406,0,0,0,RAMPE,2,0.504165513120117
0.735000000000001,99748.015625,20.5487976074219,99729,22.1522674560547,-2.4525,0,0,RAMPE,3,10.9235861176025
0.740000000000001,99748.7109375,20.490234375,99787,17.2626647949219,1.8639,0,0,RAMPE,4,10.9235861176025
0.745000000000001,99748.65625,20.4948272705078,99745,20.8033752441406,-1.2753,0,0,RAMPE,5,0
0.750000000000001,99748.875,20.4764862060547,99761,19.4541473388672,1.8639,0,0,RAMPE,1,12.1720211691504
0.755000000000001,99749.3671875,20.4352569580078,99776,18.1901092529297,-1.2753,0,0,RAMPE,2,0.498830428325195
0.760000000000001,99749.765625,20.4016418457031,99771,18.6116180419922,3.0411,0,0,RAMPE,3,10.9235861176025
0.765000000000001,99749.2734375,20.4428863525391,99722,22.7424926757813,1.8639,0,0,RAMPE,4,10.9235861176025
0.770000000000001,99749.65625,20.4108123779297,99771,18.6116180419922,0,0,0,RAMPE,5,0
0.775000000000001,99749.359375,20.4357604980469,99733,21.8151550292969,0.5886,0,0,RAMPE,1,12.1751639579883
0.780000000000001,99749.7421875,20.4031677246094,99771,18.6116180419922,1.2753,0,0,RAMPE,2,0.498830428325195
0.785000000000001,99749.8203125,20.3965606689453,99754,20.0442199707031,3.7278,0,0,RAMPE,3,10.9235861176025
0.790000000000001,99750.0234375,20.3797454833984,99761,19.4541473388672,1.2753,0,0,RAMPE,4,10.9235861176025
0.795000000000001,99749.7578125,20.4021606445313,99735,21.6461029052734,-0.5886,0,0,RAMPE,5,0
0.800000000000001,99749.578125,20.4174346923828,99740,21.2249755859375,2.4525,0,0,RAMPE,1,12.1720211691504
0.805000000000001,99749.6875,20.4077606201172,99756,19.8757019042969,-0.5886,0,0,RAMPE,2,0.498830428325195
0.810000000000001,99749.609375,20.4143829345703,99745,20.8033752441406,0,0,0,RAMPE,3,10.9235861176025
0.815000000000001,99749.3125,20.4398345947266,99733,21.8151550292969,2.4525,0,0,RAMPE,4,10.9235861176025
0.820000000000001,99749.8984375,20.3904418945313,99782,17.6841278076172,3.0411,0,0,RAMPE,5,0
0.825000000000001,99749.8203125,20.3965606689453,99745,20.8033752441406,2.4525,0,0,RAMPE,1,12.1814495356641
0.830000000000001,99749.7890625,20.3996124267578,99748,20.5503234863281,2.4525,0,0,RAMPE,2,0.504165513120117
0.835000000000001,99749.703125,20.40673828125,99745,20.8033752441406,1.8639,0,0,RAMPE,3,10.9235861176025
0.840000000000001,99749.703125,20.40673828125,99750,20.3817901611328,0,0,0,RAMPE,4,10.9235861176025
0.845000000000001,99749.90625,20.3894195556641,99761,19.4541473388672,0,0,0,RAMPE,5,0
0.850000000000001,99749.90625,20.3894195556641,99750,20.3817901611328,-0.5886,0,0,RAMPE,1,12.1657355914746
0.855000000000001,99749.90625,20.3894195556641,99750,20.3817901611328,1.2753,0,0,RAMPE,2,0.506833055517578
0.860000000000001,99749.53125,20.4209899902344,99729,22.1522674560547,3.0411,0,0,RAMPE,3,10.9235861176025
0.865000000000001,99749.15625,20.4525604248047,99729,22.1522674560547,3.0411,0,0,RAMPE,4,10.9235861176025
0.870000000000001,99748.6015625,20.4994049072266,99719,22.99560546875,-0.5886,0,0,RAMPE,5,0
0.875000000000001,99748.8671875,20.4770050048828,99764,19.2016296386719,0.5886,0,0,RAMPE,1,12.1657355914746
0.880000000000001,99749.1796875,20.4510345458984,99766,19.0326232910156,-1.2753,0,0,RAMPE,2,0.501497970722656
0.885000000000001,99748.9296875,20.4719085693359,99735,21.6461029052734,-0.5886,0,0,RAMPE,3,10.9235861176025
0.890000000000001,99748.4765625,20.5101013183594,99724,22.5739288330078,0.5886,0,0,RAMPE,4,10.9235861176025
