ts,id,Ax,Ay,Az,Gx,Gy,Gz
-0.745,IMU0,0.09580078125000001,-9.877060546875,-0.795146484375,-1.7507002801120448,-0.2801120448179272,0.4901960784313726
-0.735,IMU0,0.09580078125000001,-9.867480468750001,-0.8430468750000001,-1.680672268907563,-0.21008403361344538,0.5602240896358543
-0.725,IMU0,0.143701171875,-9.877060546875,-0.8813671875000001,-1.680672268907563,-0.0700280112044818,0.4901960784313726
-0.715,IMU0,0.162861328125,-9.857900390625,-0.871787109375,-1.680672268907563,0,0.5602240896358543
-0.705,IMU0,0.18202148437500001,-9.886640625,-0.9005273437500001,-1.6106442577030813,-0.0700280112044818,0.5602240896358543
-0.695,IMU0,0.11496093750000001,-9.867480468750001,-0.8813671875000001,-1.680672268907563,-0.1400560224089636,0.6302521008403361
-0.685,IMU0,0.11496093750000001,-9.896220703125001,-0.833466796875,-1.680672268907563,-0.1400560224089636,0.6302521008403361
-0.675,IMU0,0.076640625,-9.877060546875,-0.8047265625000001,-1.680672268907563,0,0.6302521008403361
-0.665,IMU0,0.067060546875,-9.877060546875,-0.737666015625,-1.680672268907563,0,0.6302521008403361
-0.655,IMU0,0.10538085937500001,-9.896220703125001,-0.7472460937500001,-1.680672268907563,-0.1400560224089636,0.5602240896358543
-0.645,IMU0,0.12454101562500001,-9.867480468750001,-0.814306640625,-1.6106442577030813,-0.21008403361344538,0.5602240896358543
-0.635,IMU0,0.086220703125,-9.877060546875,-0.7664062500000001,-1.680672268907563,-0.1400560224089636,0.5602240896358543
-0.625,IMU0,0.17244140625,-9.857900390625,-0.890947265625,-1.680672268907563,0,0.4901960784313726
-0.615,IMU0,0.17244140625,-9.877060546875,-0.852626953125,-1.680672268907563,0.1400560224089636,0.5602240896358543
-0.605,IMU0,0.17244140625,-9.8483203125,-0.890947265625,-1.680672268907563,0,0.5602240896358543
-0.595,IMU0,0.15328125,-9.857900390625,-0.890947265625,-1.6106442577030813,-0.1400560224089636,0.6302521008403361
-0.585,IMU0,0.13412109375,-9.877060546875,-0.814306640625,-1.6106442577030813,-0.1400560224089636,0.6302521008403361
-0.575,IMU0,0.076640625,-9.867480468750001,-0.775986328125,-1.5406162464985995,0,0.5602240896358543
-0.565,IMU0,0.09580078125000001,-9.867480468750001,-0.775986328125,-1.5406162464985995,0,0.5602240896358543
-0.555,IMU0,0.09580078125000001,-9.867480468750001,-0.775986328125,-1.6106442577030813,0.0700280112044818,0.6302521008403361
-0.545,IMU0,0.047900390625000004,-9.867480468750001,-0.7664062500000001,-1.680672268907563,-0.0700280112044818,0.5602240896358543
-0.535,IMU0,0.10538085937500001,-9.867480468750001,-0.8047265625000001,-1.7507002801120448,-0.2801120448179272,0.5602240896358543
-0.525,IMU0,0.11496093750000001,-9.896220703125001,-0.8430468750000001,-1.7507002801120448,-0.2801120448179272,0.5602240896358543
-0.515,IMU0,0.143701171875,-9.838740234375,-0.8622070312500001,-1.7507002801120448,-0.1400560224089636,0.5602240896358543
-0.505,IMU0,0.13412109375,-9.886640625,-0.890947265625,-1.680672268907563,-0.1400560224089636,0.5602240896358543
-0.495,IMU0,0.15328125,-9.867480468750001,-0.910107421875,-1.680672268907563,-0.2801120448179272,0.5602240896358543
-0.485,IMU0,0.143701171875,-9.877060546875,-0.8622070312500001,-1.6106442577030813,-0.2801120448179272,0.5602240896358543
-0.475,IMU0,0.09580078125000001,-9.896220703125001,-0.795146484375,-1.6106442577030813,-0.21008403361344538,0.6302521008403361
-0.465,IMU0,0.12454101562500001,-9.8483203125,-0.7664062500000001,-1.6106442577030813,-0.0700280112044818,0.5602240896358543
-0.455,IMU0,0.047900390625000004,-9.896220703125001,-0.756826171875,-1.680672268907563,0.0700280112044818,0.5602240896358543
-0.445,IMU0,0.076640625,-9.886640625,-0.8238867187500001,-1.680672268907563,0,0.6302521008403361
