ts,filteredAltitudeAGL,filteredAcceleration
-0.75,-0.21728515625,0.047806739807128906
-0.74,-0.21728515625,0.047806739807128906
-0.73,-0.215911865234375,0.047806739807128906
-0.72,-0.215911865234375,0.047806739807128906
-0.71,-0.215911865234375,0.047806739807128906
-0.7,-0.133056640625,0.047806739807128906
-0.69,0.37518310546875,0.047806739807128906
-0.68,-0.133056640625,0.047806739807128906
-0.67,0.0388031005859375,0.047806739807128906
-0.66,0.0388031005859375,0.047806739807128906
-0.65,0.0388031005859375,0.047806739807128906
-0.64,0.0388031005859375,0.047806739807128906
-0.63,0.0388031005859375,0.047806739807128906
-0.62,0.628173828125,0.047806739807128906
-0.61,0.628173828125,0.047806739807128906
-0.6,0.628173828125,0.047806739807128906
-0.59,0.7108001708984375,0.047806739807128906
-0.58,0.800811767578125,0.047806739807128906
-0.57,1.1311492919921875,0.047806739807128906
-0.56,0.7108001708984375,0.03824615478515625
-0.55,0.7108001708984375,0.03824615478515625
-0.54,0.7108001708984375,0.03824615478515625
-0.53,0.6147003173828125,0.03824615478515625
-0.52,0.6147003173828125,0.03824615478515625
-0.51,0.5324554443359375,0.03824615478515625
-0.5,0.5313873291015625,0.03824615478515625
-0.49,0.1894989013671875,0.03824615478515625
-0.48,0.189239501953125,0.03824615478515625
-0.47,0.1053314208984375,0.03824615478515625
-0.46,0.1053314208984375,0.03824615478515625
-0.45,0.0209808349609375,0.03824615478515625
-0.44,0.1053314208984375,0.047806739807128906
-0.43,0.0209808349609375,0.057369232177734375
-0.42,0.0209808349609375,0.057369232177734375
-0.41,0.189239501953125,0.057369232177734375
-0.4,0.274688720703125,0.057369232177734375
-0.39,0.440216064453125,0.057369232177734375
-0.38,0.440216064453125,0.057369232177734375
-0.37,0.6142578125,0.047806739807128906
-0.36,0.6142578125,0.047806739807128906
-0.35,0.440216064453125,0.047806739807128906
-0.34,0.440216064453125,0.047806739807128906
-0.33,0.440216064453125,0.03824615478515625
-0.32,0.0982208251953125,0.02868366241455078
-0.31,-0.073394775390625,0.02868366241455078
-0.3,-0.7505035400390625,0.02868366241455078
-0.29,-0.237884521484375,0.03824615478515625
-0.28,-0.237884521484375,0.03824615478515625
-0.27,-0.073394775390625,0.03824615478515625
-0.26,-0.073394775390625,0.03824615478515625
-0.25,-0.237884521484375,0.03824615478515625
-0.24,-0.237884521484375,0.047806739807128906
-0.23,0.012847900390625,0.047806739807128906
-0.22,0.6058807373046875,0.057369232177734375
-0.21,0.6058807373046875,0.057369232177734375
-0.2,0.6058807373046875,0.057369232177734375
-0.19,0.5164337158203125,0.057369232177734375
-0.18,0.5164337158203125,0.057369232177734375
-0.17,0.428375244140625,0.057369232177734375
-0.16,0.5164337158203125,0.057369232177734375
-0.15,0.5164337158203125,0.07649040222167969
-0.14,0.428375244140625,0.1242990493774414
-0.13,0.17315673828125,0.4780702590942383
-0.12,0.17315673828125,4.646842002868652
-0.11,0.17315673828125,8.901665687561035
-0.1,0.17315673828125,9.695263862609863
-0.09,0.17315673828125,12.888772010803223
-0.08,0.26409912109375,17.631229400634766
-0.07,-0.24432373046875,21.752193450927734
-0.06,0.26409912109375,23.607105255126953
-0.05,0.5209197998046875,25.433330535888672
-0.04,0.7693939208984375,27.804561614990234
-0.03,0.9373779296875,29.592544555664062
-0.02,0.9373779296875,31.724735260009766
-0.01,0.9392547607421875,32.566139221191406
0,0.9392547607421875,33.49359893798828
0.01,0.9392547607421875,33.71350860595703
0.02,0.9392547607421875,34.268070220947266
0.03,0.9392547607421875,34.72701644897461
0.04,0.9373779296875,34.765262603759766
0.05,0.84014892578125,34.765262603759766
0.06,0.84014892578125,35.157283782958984
0.07,1.1783447265625,35.60667037963867
0.08,1.1783447265625,36.25684356689453
0.09,1.1783447265625,36.92613983154297
0.1,1.434661865234375,37.872718811035156
0.11,1.688323974609375,38.76192855834961
0.12,1.688323974609375,39.192195892333984
0.13,1.7728729248046875,39.45991516113281
0.14,1.7728729248046875,40.08140563964844
0.15,2.0291748046875,40.836753845214844
0.16,2.6237030029296875,40.836753845214844
0.17,2.6237030029296875,40.836753845214844
0.18,2.6237030029296875,40.836753845214844
0.19,1.860076904296875,40.836753845214844
0.2,2.6237030029296875,40.071842193603516
0.21,2.6237030029296875,40.071842193603516
0.22,2.6237030029296875,40.071842193603516
0.23,3.0517425537109375,40.071842193603516
0.24,2.6237030029296875,40.071842193603516
0.25,2.6237030029296875,40.47342300415039
0.26,3.0517425537109375,40.65509033203125
0.27,3.474517822265625,40.932369232177734
0.28,3.902587890625,41.28614044189453
0.29,3.9871368408203125,41.28614044189453
0.3,3.9871368408203125,41.28614044189453
0.31,3.9871368408203125,41.28614044189453
0.36,4.75341796875,41.00886154174805
0.37,4.75341796875,40.72201919555664
0.38,4.75341796875,40.72201919555664
0.39,5.51702880859375,41.07578659057617
0.4,5.773345947265625,41.07578659057617
0.41,6.11419677734375,41.07578659057617
0.42,6.11419677734375,41.07578659057617
0.43,6.11419677734375,40.9036865234375
0.44,6.53961181640625,40.72201919555664
0.45,6.9650421142578125,40.27263259887695
0.46,7.049591064453125,40.17702102661133
0.47,7.3904571533203125,39.89017868041992
0.48,7.3904571533203125,39.86149215698242
0.49,7.3904571533203125,39.641578674316406
0.5,8.24127197265625,39.641578674316406
0.51,8.24127197265625,39.86149215698242
0.52,8.24127197265625,39.86149215698242
0.53,8.24127197265625,39.86149215698242
0.54,8.24127197265625,39.63201904296875
0.55,8.751235961914062,39.45035171508789
0.56,9.007553100585938,39.45035171508789
0.57,9.09210205078125,39.05833435058594
0.58,9.348403930664062,38.98184585571289
0.59,9.432968139648438,38.83842086791992
0.6,9.432968139648438,38.54201889038086
0.61,9.604705810546875,38.5324592590332
0.62,9.604705810546875,38.28385925292969
0.63,9.604705810546875,38.22649002075195
0.64,10.199234008789062,38.11175537109375
0.65,10.199234008789062,38.054386138916016
0.66,10.199234008789062,37.652809143066406
0.67,11.306365966796875,37.652809143066406
0.68,11.306365966796875,37.50938415527344
0.69,11.390914916992188,37.28947448730469
0.7,11.562667846679688,37.13648986816406
0.71,11.903533935546875,37.031314849853516
0.72,12.157196044921875,36.9835090637207
0.73,12.413497924804688,36.57236862182617
0.74,13.095230102539062,36.27596664428711
0.75,13.605178833007812,36.218597412109375
0.76,13.7742919921875,36.1994743347168
0.77,13.861480712890625,36.07517623901367
0.78,13.861480712890625,35.58754348754883
0.79,13.861480712890625,35.39631652832031
0.8,14.030593872070312,34.612281799316406
0.81,14.202346801757812,34.4688606262207
0.82,14.456008911132812,33.99079132080078
0.83,14.543212890625,33.90473556518555
0.84,15.053176879882812,33.72307205200195
0.85,15.39404296875,32.929473876953125
0.86,15.650344848632812,32.747806549072266
0.87,16.160308837890625,32.068946838378906
0.88,16.67291259765625,31.753421783447266
0.89,16.92657470703125,31.734298706054688
0.9,17.013778686523438,31.514385223388672
0.91,17.692855834960938,31.35184097290039
0.92,17.692855834960938,31.21798324584961
0.93,17.94915771484375,31.17017364501953
0.94,18.033721923828125,31.112808227539062
0.95,18.546310424804688,30.7877197265625
0.96,18.887176513671875,30.634735107421875
0.97,19.228042602539062,30.62517547607422
0.98,19.653457641601562,30.56781005859375
0.99,19.653457641601562,30.56781005859375
1,20.166061401367188,30.510440826416016
1.01,20.335174560546875,30.56781005859375
1.02,20.676040649414062,30.62517547607422
1.03,21.614044189453125,30.38614273071289
1.04,21.954910278320312,30.37657928466797
1.05,21.954910278320312,30.233158111572266
1.06,22.8929443359375,30.233158111572266
1.07,22.8929443359375,29.640350341796875
1.08,23.1466064453125,29.363067626953125
1.09,23.574661254882812,29.238773345947266
1.1,23.574661254882812,29.037982940673828
1.11,24.256362915039062,29.037982940673828
1.12,25.109848022460938,28.95193099975586
1.13,25.363510131835938,28.894561767578125
1.14,25.704360961914062,28.894561767578125
1.15,26.047866821289062,28.894561767578125
1.16,26.132431030273438,28.85631561279297
1.17,26.38873291015625,28.837196350097656
1.18,27.0704345703125,28.837196350097656
1.19,28.093017578125,28.67464828491211
1.2,28.433883666992188,28.626842498779297
1.21,28.690185546875,28.473861694335938
1.22,28.946487426757812,28.38780975341797
1.23,29.456466674804688,28.35912322998047
1.24,29.628219604492188,28.320877075195312
1.25,30.397125244140625,28.320877075195312
1.26,30.481674194335938,28.263507843017578
1.27,30.481674194335938,28.263507843017578
1.28,30.73797607421875,28.263507843017578
1.29,30.73797607421875,28.225265502929688
1.3,30.73797607421875,28.196578979492188
1.31,31.591461181640625,28.053157806396484
1.32,32.016876220703125,28.034034729003906
1.33,32.016876220703125,27.90973663330078
1.34,32.44493103027344,27.881053924560547
1.35,33.72380065917969,27.881053924560547
1.36,33.72380065917969,27.86193084716797
1.37,34.32096862792969,27.86193084716797
1.38,34.5772705078125,27.86193084716797
1.39,35.68705749511719,27.86193084716797
1.4,35.856170654296875,27.68026351928711
1.41,36.36875915527344,27.68026351928711
1.42,36.45332336425781,27.68026351928711
1.43,36.96592712402344,27.613330841064453
1.44,37.306793212890625,27.603771209716797
1.45,38.58830261230469,27.469913482666016
1.46,40.55155944824219,27.402984619140625
1.47,40.72331237792969,27.326492309570312
1.48,40.97962951660156,27.020526885986328
1.49,41.49223327636719,26.867542266845703
1.5,41.91764831542969,26.867542266845703
1.51,43.88352966308594,26.867542266845703
