ts,q0_estimated,q1_estimated,q2_estimated,q3_estimated
7.77,-7.081,0.531,5.532,-4.355
7.78,-7.061,0.521,5.547,-4.368
7.79,-7.042,0.512,5.562,-4.381
7.8,-7.022,0.503,5.577,-4.394
7.81,-7.002,0.493,5.593,-4.408
7.82,-6.982,0.483,5.608,-4.421
7.83,-6.962,0.473,5.624,-4.434
7.84,-6.941,0.464,5.639,-4.448
7.85,-6.921,0.454,5.655,-4.461
7.86,-6.9,0.445,5.669,-4.475
7.87,-6.88,0.435,5.684,-4.489
7.88,-6.86,0.426,5.699,-4.502
7.89,-6.839,0.417,5.713,-4.516
7.9,-6.819,0.408,5.727,-4.53
7.91,-6.799,0.399,5.741,-4.543
7.92,-6.778,0.391,5.755,-4.557
7.93,-6.758,0.382,5.768,-4.571
7.94,-6.737,0.374,5.782,-4.585
7.95,-6.717,0.365,5.796,-4.599
7.96,-6.696,0.356,5.809,-4.613
7.97,-6.674,0.347,5.823,-4.627
7.98,-6.653,0.338,5.837,-4.641
7.99,-6.631,0.329,5.851,-4.655
8,-6.609,0.32,5.865,-4.669
8.01,-6.587,0.31,5.879,-4.683
8.02,-6.565,0.301,5.894,-4.697
8.03,-6.542,0.291,5.908,-4.711
8.04,-6.519,0.281,5.923,-4.725
8.05,-6.496,0.271,5.937,-4.739
8.06,-6.473,0.261,5.952,-4.753
8.07,-6.45,0.251,5.966,-4.767
8.08,-6.427,0.24,5.981,-4.78
8.09,-6.403,0.23,5.995,-4.794
8.1,-6.38,0.219,6.009,-4.808
8.11,-6.356,0.209,6.024,-4.822
8.12,-6.333,0.198,6.038,-4.836
8.13,-6.309,0.188,6.052,-4.85
8.14,-6.286,0.177,6.065,-4.863
8.15,-6.262,0.166,6.079,-4.877
8.16,-6.239,0.155,6.092,-4.891
8.17,-6.215,0.145,6.105,-4.905
8.18,-6.192,0.134,6.118,-4.918
8.19,-6.169,0.124,6.131,-4.932
8.2,-6.146,0.113,6.143,-4.945
8.21,-6.124,0.103,6.155,-4.959
8.22,-6.101,0.092,6.167,-4.972
8.23,-6.078,0.082,6.178,-4.986
8.24,-6.056,0.072,6.189,-4.999
8.25,-6.034,0.061,6.201,-5.012
8.26,-6.012,0.051,6.212,-5.026
8.27,-5.99,0.041,6.222,-5.039
8.28,-5.968,0.031,6.233,-5.052
8.29,-5.946,0.021,6.243,-5.065
8.3,-5.924,0.01,6.254,-5.078
8.31,-5.901,0,6.264,-5.091
8.32,-5.88,-0.009,6.274,-5.104
8.33,-5.858,-0.02,6.284,-5.116
8.34,-5.836,-0.03,6.294,-5.129
8.35,-5.814,-0.041,6.304,-5.141
8.36,-5.792,-0.051,6.314,-5.154
8.37,-5.77,-0.062,6.324,-5.166
8.38,-5.748,-0.073,6.334,-5.178
8.39,-5.726,-0.084,6.344,-5.19
8.4,-5.704,-0.095,6.354,-5.202
8.41,-5.681,-0.106,6.365,-5.214
8.42,-5.659,-0.118,6.375,-5.226
8.43,-5.636,-0.129,6.385,-5.238
8.44,-5.613,-0.141,6.396,-5.249
8.45,-5.59,-0.154,6.406,-5.26
8.46,-5.566,-0.167,6.417,-5.271
8.47,-5.543,-0.18,6.428,-5.282
8.48,-5.519,-0.193,6.44,-5.293
8.49,-5.495,-0.207,6.451,-5.304
8.5,-5.471,-0.221,6.463,-5.314
8.51,-5.446,-0.235,6.474,-5.325
8.52,-5.421,-0.25,6.486,-5.335
8.53,-5.396,-0.265,6.498,-5.345
8.54,-5.37,-0.28,6.51,-5.355
8.55,-5.344,-0.296,6.523,-5.365
8.56,-5.318,-0.312,6.535,-5.375
8.57,-5.292,-0.328,6.548,-5.385
8.58,-5.265,-0.345,6.561,-5.394
8.59,-5.238,-0.362,6.574,-5.404
8.6,-5.211,-0.38,6.587,-5.413
8.61,-5.183,-0.397,6.6,-5.422
8.62,-5.156,-0.415,6.614,-5.431
8.63,-5.127,-0.433,6.627,-5.439
8.64,-5.099,-0.452,6.641,-5.448
8.65,-5.07,-0.471,6.655,-5.456
8.66,-5.041,-0.491,6.669,-5.464
8.67,-5.011,-0.511,6.683,-5.472
8.68,-4.981,-0.531,6.698,-5.48
8.69,-4.951,-0.552,6.712,-5.487
8.7,-4.921,-0.573,6.727,-5.495
8.71,-4.89,-0.595,6.742,-5.502
8.72,-4.858,-0.617,6.757,-5.509
8.73,-4.827,-0.639,6.772,-5.515
8.74,-4.795,-0.662,6.787,-5.522
8.75,-4.762,-0.685,6.802,-5.528
8.76,-4.729,-0.709,6.818,-5.534
8.77,-4.696,-0.734,6.834,-5.54
8.78,-4.661,-0.759,6.85,-5.545
8.79,-4.627,-0.785,6.867,-5.55
8.8,-4.592,-0.811,6.883,-5.555
8.81,-4.556,-0.838,6.9,-5.56
8.82,-4.521,-0.865,6.916,-5.564
8.83,-4.485,-0.892,6.933,-5.568
8.84,-4.448,-0.92,6.95,-5.572
8.85,-4.411,-0.948,6.967,-5.575
8.86,-4.373,-0.977,6.984,-5.579
8.87,-4.335,-1.006,7.002,-5.581
8.88,-4.297,-1.035,7.019,-5.584
8.89,-4.259,-1.065,7.036,-5.586
8.9,-4.22,-1.095,7.053,-5.588
8.91,-4.181,-1.125,7.07,-5.59
8.92,-4.142,-1.155,7.087,-5.592
8.93,-4.102,-1.186,7.104,-5.593
8.94,-4.062,-1.218,7.121,-5.594
8.95,-4.022,-1.249,7.138,-5.595
8.96,-3.982,-1.28,7.154,-5.595
8.97,-3.943,-1.312,7.17,-5.595
8.98,-3.904,-1.343,7.186,-5.595
8.99,-3.864,-1.375,7.201,-5.595
9,-3.825,-1.407,7.216,-5.594
9.01,-3.786,-1.438,7.231,-5.594
9.02,-3.747,-1.471,7.246,-5.593
9.03,-3.708,-1.503,7.26,-5.591
9.04,-3.669,-1.535,7.275,-5.589
9.05,-3.631,-1.567,7.289,-5.587
9.06,-3.592,-1.599,7.302,-5.585
9.07,-3.553,-1.632,7.316,-5.583
9.08,-3.515,-1.665,7.329,-5.58
9.09,-3.476,-1.697,7.343,-5.577
9.1,-3.438,-1.73,7.356,-5.573
9.11,-3.399,-1.763,7.369,-5.57
9.12,-3.361,-1.796,7.381,-5.566
9.13,-3.322,-1.83,7.394,-5.562
9.14,-3.283,-1.863,7.406,-5.557
9.15,-3.244,-1.897,7.418,-5.552
9.16,-3.205,-1.931,7.43,-5.547
9.17,-3.166,-1.965,7.442,-5.541
9.18,-3.127,-1.999,7.454,-5.535
9.19,-3.087,-2.034,7.466,-5.529
9.2,-3.048,-2.069,7.477,-5.523
9.21,-3.008,-2.104,7.489,-5.516
9.22,-2.968,-2.139,7.5,-5.509
9.23,-2.927,-2.174,7.511,-5.502
9.24,-2.887,-2.21,7.522,-5.494
9.25,-2.845,-2.247,7.533,-5.486
9.26,-2.803,-2.283,7.544,-5.477
9.27,-2.761,-2.32,7.555,-5.468
9.28,-2.719,-2.357,7.566,-5.459
9.29,-2.677,-2.394,7.576,-5.449
9.3,-2.634,-2.432,7.586,-5.439
9.31,-2.591,-2.469,7.596,-5.428
9.32,-2.548,-2.507,7.606,-5.417
9.33,-2.505,-2.545,7.616,-5.406
9.34,-2.461,-2.583,7.625,-5.395
9.35,-2.418,-2.621,7.635,-5.383
9.36,-2.374,-2.659,7.644,-5.371
9.37,-2.331,-2.698,7.652,-5.359
9.38,-2.287,-2.736,7.661,-5.346
9.39,-2.244,-2.774,7.669,-5.333
9.4,-2.2,-2.812,7.677,-5.32
9.41,-2.157,-2.85,7.684,-5.307
9.42,-2.113,-2.888,7.692,-5.293
9.43,-2.07,-2.926,7.698,-5.279
9.44,-2.027,-2.964,7.705,-5.265
9.45,-1.985,-3.001,7.711,-5.251
9.46,-1.942,-3.038,7.717,-5.237
9.47,-1.9,-3.075,7.723,-5.223
9.48,-1.859,-3.112,7.728,-5.208
9.49,-1.817,-3.148,7.733,-5.194
9.5,-1.777,-3.184,7.737,-5.18
9.51,-1.736,-3.22,7.741,-5.165
9.52,-1.696,-3.255,7.745,-5.151
9.53,-1.656,-3.29,7.748,-5.136
9.54,-1.617,-3.325,7.751,-5.122
9.55,-1.578,-3.359,7.754,-5.107
9.56,-1.539,-3.393,7.757,-5.093
9.57,-1.5,-3.427,7.759,-5.078
9.58,-1.462,-3.46,7.761,-5.064
9.59,-1.425,-3.493,7.762,-5.05
9.6,-1.388,-3.526,7.763,-5.036
9.61,-1.351,-3.558,7.764,-5.021
9.62,-1.314,-3.591,7.765,-5.007
9.63,-1.277,-3.623,7.765,-4.993
9.64,-1.24,-3.655,7.765,-4.979
9.65,-1.204,-3.687,7.765,-4.964
9.66,-1.168,-3.718,7.764,-4.95
9.67,-1.133,-3.749,7.764,-4.936
9.68,-1.097,-3.781,7.763,-4.922
9.69,-1.062,-3.811,7.761,-4.908
9.7,-1.028,-3.842,7.759,-4.895
9.71,-0.994,-3.872,7.757,-4.881
9.72,-0.96,-3.901,7.755,-4.868
9.73,-0.927,-3.931,7.753,-4.855
9.74,-0.895,-3.959,7.75,-4.842
9.75,-0.862,-3.988,7.747,-4.829
9.76,-0.83,-4.017,7.744,-4.816
9.77,-0.798,-4.045,7.741,-4.803
9.78,-0.766,-4.073,7.737,-4.79
9.79,-0.734,-4.101,7.733,-4.777
9.8,-0.703,-4.128,7.73,-4.764
9.81,-0.671,-4.156,7.725,-4.752
9.82,-0.64,-4.183,7.721,-4.739
9.83,-0.609,-4.21,7.717,-4.727
9.84,-0.579,-4.237,7.712,-4.715
9.85,-0.548,-4.263,7.707,-4.702
9.86,-0.518,-4.289,7.702,-4.69
9.87,-0.488,-4.315,7.697,-4.677
9.88,-0.458,-4.341,7.692,-4.665
9.89,-0.429,-4.367,7.686,-4.653
9.9,-0.399,-4.393,7.681,-4.64
9.91,-0.37,-4.418,7.675,-4.628
9.92,-0.342,-4.443,7.669,-4.616
9.93,-0.313,-4.468,7.663,-4.604
9.94,-0.285,-4.492,7.657,-4.592
9.95,-0.257,-4.516,7.651,-4.581
9.96,-0.229,-4.541,7.644,-4.569
9.97,-0.201,-4.564,7.638,-4.558
9.98,-0.174,-4.588,7.631,-4.546
9.99,-0.146,-4.611,7.624,-4.535
10,-0.119,-4.635,7.617,-4.524
10.01,-0.092,-4.658,7.61,-4.513
10.02,-0.065,-4.681,7.603,-4.502
10.03,-0.038,-4.703,7.595,-4.492
10.04,-0.012,-4.726,7.588,-4.481
10.05,0.013,-4.748,7.58,-4.471
10.06,0.039,-4.77,7.572,-4.46
10.07,0.065,-4.791,7.564,-4.45
10.08,0.09,-4.813,7.556,-4.44
10.09,0.116,-4.835,7.548,-4.43
10.1,0.142,-4.856,7.539,-4.42
10.11,0.167,-4.877,7.531,-4.41
10.12,0.192,-4.899,7.522,-4.401
10.13,0.217,-4.92,7.513,-4.391
10.14,0.241,-4.941,7.505,-4.381
10.15,0.266,-4.962,7.495,-4.372
10.16,0.29,-4.982,7.486,-4.363
10.17,0.314,-5.003,7.477,-4.354
10.18,0.337,-5.023,7.467,-4.345
10.19,0.361,-5.043,7.458,-4.336
10.2,0.384,-5.063,7.448,-4.327
10.21,0.407,-5.084,7.438,-4.318
10.22,0.43,-5.103,7.428,-4.31
10.23,0.453,-5.123,7.418,-4.301
10.24,0.475,-5.143,7.408,-4.293
10.25,0.497,-5.163,7.398,-4.285
10.26,0.519,-5.182,7.387,-4.277
10.27,0.54,-5.201,7.377,-4.269
10.28,0.562,-5.221,7.366,-4.261
10.29,0.583,-5.24,7.355,-4.253
10.3,0.604,-5.259,7.344,-4.246
10.31,0.625,-5.278,7.333,-4.238
10.32,0.646,-5.296,7.322,-4.231
10.33,0.666,-5.315,7.311,-4.223
10.34,0.687,-5.334,7.3,-4.216
10.35,0.707,-5.353,7.289,-4.208
10.36,0.728,-5.371,7.277,-4.201
10.37,0.748,-5.39,7.266,-4.193
10.38,0.769,-5.409,7.254,-4.185
10.39,0.789,-5.428,7.242,-4.178
10.4,0.81,-5.447,7.23,-4.169
10.41,0.83,-5.466,7.218,-4.161
10.42,0.851,-5.485,7.206,-4.153
10.43,0.872,-5.504,7.193,-4.145
10.44,0.893,-5.524,7.181,-4.136
10.45,0.914,-5.544,7.168,-4.127
10.46,0.935,-5.563,7.156,-4.118
10.47,0.956,-5.583,7.143,-4.108
10.48,0.977,-5.603,7.13,-4.099
10.49,0.998,-5.623,7.116,-4.089
10.5,1.019,-5.644,7.103,-4.079
10.51,1.04,-5.664,7.09,-4.069
10.52,1.061,-5.684,7.076,-4.059
10.53,1.082,-5.705,7.062,-4.049
10.54,1.103,-5.725,7.048,-4.038
10.55,1.125,-5.746,7.034,-4.028
10.56,1.146,-5.766,7.02,-4.017
10.57,1.167,-5.787,7.006,-4.006
10.58,1.188,-5.807,6.992,-3.995
10.59,1.208,-5.828,6.977,-3.984
10.6,1.229,-5.849,6.963,-3.973
10.61,1.25,-5.869,6.948,-3.961
10.62,1.271,-5.89,6.934,-3.95
10.63,1.291,-5.91,6.919,-3.939
10.64,1.311,-5.931,6.904,-3.927
10.65,1.332,-5.952,6.889,-3.916
10.66,1.352,-5.972,6.873,-3.904
10.67,1.372,-5.993,6.858,-3.892
10.68,1.393,-6.013,6.843,-3.88
10.69,1.413,-6.034,6.827,-3.869
10.7,1.433,-6.055,6.812,-3.857
10.71,1.453,-6.075,6.796,-3.845
10.72,1.473,-6.096,6.78,-3.833
10.73,1.493,-6.117,6.763,-3.82
10.74,1.513,-6.138,6.747,-3.807
10.75,1.534,-6.159,6.73,-3.794
10.76,1.554,-6.18,6.714,-3.781
10.77,1.574,-6.201,6.697,-3.768
10.78,1.594,-6.223,6.68,-3.755
10.79,1.614,-6.244,6.663,-3.742
10.8,1.635,-6.265,6.645,-3.728
10.81,1.654,-6.287,6.628,-3.714
10.82,1.674,-6.308,6.61,-3.701
10.83,1.694,-6.329,6.592,-3.687
10.84,1.714,-6.351,6.574,-3.673
10.85,1.733,-6.372,6.556,-3.659
10.86,1.753,-6.394,6.538,-3.645
10.87,1.773,-6.416,6.519,-3.63
10.88,1.793,-6.438,6.5,-3.616
10.89,1.813,-6.459,6.482,-3.601
10.9,1.832,-6.481,6.463,-3.586
10.91,1.851,-6.502,6.444,-3.571
10.92,1.871,-6.524,6.424,-3.556
10.93,1.891,-6.546,6.405,-3.54
10.94,1.911,-6.568,6.385,-3.523
10.95,1.931,-6.591,6.365,-3.506
10.96,1.952,-6.613,6.345,-3.489
10.97,1.973,-6.636,6.325,-3.47
10.98,1.994,-6.659,6.305,-3.452
10.99,2.015,-6.682,6.284,-3.433
11,2.036,-6.706,6.263,-3.413
11.01,2.057,-6.729,6.241,-3.393
11.02,2.079,-6.753,6.22,-3.372
11.03,2.101,-6.777,6.198,-3.35
11.04,2.123,-6.801,6.176,-3.329
11.05,2.145,-6.825,6.154,-3.307
11.06,2.167,-6.849,6.132,-3.284
11.07,2.189,-6.873,6.109,-3.261
11.08,2.212,-6.897,6.086,-3.237
11.09,2.234,-6.922,6.063,-3.212
11.1,2.257,-6.946,6.04,-3.187
11.11,2.28,-6.971,6.016,-3.162
11.12,2.303,-6.996,5.992,-3.136
11.13,2.325,-7.02,5.968,-3.11
11.14,2.348,-7.045,5.944,-3.084
11.15,2.37,-7.069,5.92,-3.057
11.16,2.393,-7.094,5.895,-3.03
11.17,2.415,-7.118,5.871,-3.003
11.18,2.437,-7.142,5.846,-2.976
11.19,2.459,-7.166,5.822,-2.949
11.2,2.481,-7.19,5.797,-2.921
11.21,2.502,-7.213,5.772,-2.893
11.22,2.523,-7.236,5.747,-2.866
11.23,2.544,-7.26,5.723,-2.838
11.24,2.564,-7.282,5.698,-2.811
11.25,2.584,-7.305,5.674,-2.783
11.26,2.604,-7.327,5.65,-2.756
11.27,2.623,-7.349,5.625,-2.728
11.28,2.641,-7.371,5.601,-2.701
11.29,2.659,-7.393,5.577,-2.675
11.3,2.677,-7.414,5.553,-2.648
11.31,2.694,-7.435,5.53,-2.621
11.32,2.711,-7.455,5.506,-2.595
11.33,2.727,-7.476,5.482,-2.569
11.34,2.744,-7.496,5.459,-2.543
11.35,2.76,-7.516,5.436,-2.516
11.36,2.776,-7.535,5.412,-2.49
11.37,2.792,-7.555,5.389,-2.464
11.38,2.807,-7.574,5.366,-2.437
11.39,2.823,-7.593,5.343,-2.411
11.4,2.838,-7.611,5.32,-2.385
11.41,2.853,-7.63,5.298,-2.359
11.42,2.868,-7.648,5.275,-2.332
11.43,2.883,-7.666,5.252,-2.306
11.44,2.897,-7.684,5.23,-2.28
11.45,2.911,-7.701,5.207,-2.253
11.46,2.926,-7.719,5.185,-2.227
11.47,2.939,-7.736,5.163,-2.2
11.48,2.953,-7.753,5.141,-2.174
11.49,2.967,-7.77,5.119,-2.148
11.5,2.98,-7.786,5.097,-2.121
11.51,2.994,-7.802,5.075,-2.095
11.52,3.007,-7.819,5.053,-2.068
11.53,3.02,-7.834,5.032,-2.041
11.54,3.033,-7.85,5.01,-2.015
11.55,3.045,-7.865,4.989,-1.988
11.56,3.058,-7.881,4.968,-1.962
11.57,3.07,-7.896,4.947,-1.935
11.58,3.083,-7.911,4.925,-1.908
11.59,3.095,-7.925,4.904,-1.881
11.6,3.107,-7.94,4.883,-1.854
11.61,3.12,-7.954,4.862,-1.827
11.62,3.132,-7.968,4.842,-1.799
11.63,3.144,-7.982,4.821,-1.772
11.64,3.156,-7.995,4.801,-1.745
11.65,3.167,-8.009,4.781,-1.719
11.66,3.178,-8.022,4.761,-1.692
11.67,3.189,-8.034,4.742,-1.666
11.68,3.2,-8.047,4.722,-1.639
11.69,3.211,-8.059,4.703,-1.612
11.7,3.222,-8.072,4.683,-1.585
11.71,3.233,-8.084,4.664,-1.558
11.72,3.244,-8.096,4.645,-1.531
11.73,3.255,-8.107,4.626,-1.504
11.74,3.266,-8.119,4.607,-1.476
11.75,3.276,-8.13,4.588,-1.449
11.76,3.287,-8.142,4.569,-1.421
11.77,3.298,-8.153,4.55,-1.393
11.78,3.309,-8.163,4.531,-1.366
11.79,3.319,-8.174,4.512,-1.339
11.8,3.33,-8.184,4.493,-1.312
11.81,3.34,-8.195,4.475,-1.284
11.82,3.351,-8.205,4.456,-1.258
11.83,3.361,-8.214,4.438,-1.231
11.84,3.371,-8.224,4.42,-1.204
11.85,3.381,-8.233,4.402,-1.178
11.86,3.391,-8.243,4.384,-1.152
11.87,3.401,-8.251,4.366,-1.126
11.88,3.41,-8.26,4.349,-1.101
11.89,3.42,-8.269,4.331,-1.075
11.9,3.429,-8.277,4.314,-1.05
11.91,3.438,-8.286,4.297,-1.025
11.92,3.447,-8.294,4.28,-1
11.93,3.456,-8.302,4.263,-0.976
11.94,3.464,-8.31,4.246,-0.951
11.95,3.473,-8.317,4.229,-0.927
11.96,3.481,-8.325,4.213,-0.903
11.97,3.489,-8.332,4.197,-0.879
11.98,3.497,-8.339,4.181,-0.855
11.99,3.505,-8.346,4.165,-0.831
12,3.513,-8.353,4.149,-0.808
12.01,3.52,-8.36,4.133,-0.785
12.02,3.528,-8.367,4.117,-0.762
12.03,3.535,-8.373,4.102,-0.74
12.04,3.543,-8.38,4.086,-0.717
12.05,3.55,-8.386,4.071,-0.695
12.06,3.557,-8.392,4.056,-0.672
12.07,3.564,-8.398,4.041,-0.65
12.08,3.571,-8.404,4.026,-0.628
12.09,3.578,-8.41,4.011,-0.606
12.1,3.585,-8.416,3.996,-0.584
12.11,3.591,-8.421,3.981,-0.562
12.12,3.598,-8.427,3.967,-0.54
12.13,3.604,-8.432,3.952,-0.519
12.14,3.611,-8.437,3.938,-0.497
12.15,3.617,-8.443,3.924,-0.476
12.16,3.623,-8.448,3.91,-0.455
12.17,3.628,-8.453,3.896,-0.434
12.18,3.634,-8.458,3.882,-0.413
12.19,3.64,-8.463,3.869,-0.393
12.2,3.645,-8.467,3.855,-0.372
12.21,3.65,-8.472,3.842,-0.352
12.22,3.656,-8.477,3.829,-0.333
12.23,3.66,-8.481,3.816,-0.314
12.24,3.665,-8.485,3.803,-0.295
12.25,3.67,-8.49,3.79,-0.277
12.26,3.675,-8.494,3.777,-0.258
12.27,3.68,-8.498,3.764,-0.239
12.28,3.685,-8.503,3.75,-0.22
12.29,3.69,-8.507,3.737,-0.201
12.3,3.696,-8.511,3.722,-0.178
12.31,3.706,-8.515,3.704,-0.148
12.32,3.719,-8.52,3.681,-0.111
12.33,3.735,-8.524,3.656,-0.065
12.34,3.756,-8.527,3.629,-0.013
12.35,3.778,-8.53,3.598,0.044
12.36,3.801,-8.534,3.562,0.108
12.37,3.823,-8.54,3.523,0.174
12.38,3.848,-8.542,3.485,0.243
12.39,3.876,-8.542,3.448,0.316
12.4,3.904,-8.542,3.409,0.389
12.41,3.929,-8.543,3.369,0.462
12.42,3.951,-8.545,3.328,0.533
12.43,3.975,-8.544,3.289,0.604
12.44,3.998,-8.542,3.252,0.671
12.45,4.018,-8.541,3.218,0.733
12.46,4.036,-8.54,3.184,0.793
12.47,4.053,-8.539,3.149,0.853
12.48,4.07,-8.537,3.114,0.914
12.49,4.089,-8.533,3.08,0.976
12.5,4.108,-8.529,3.044,1.042
12.51,4.129,-8.525,3.003,1.115
12.52,4.15,-8.52,2.959,1.193
12.53,4.173,-8.512,2.913,1.276
12.54,4.198,-8.502,2.864,1.365
12.55,4.224,-8.491,2.814,1.457
12.56,4.248,-8.48,2.761,1.55
12.57,4.272,-8.467,2.708,1.645
12.58,4.297,-8.453,2.654,1.74
12.59,4.321,-8.436,2.601,1.837
12.6,4.345,-8.419,2.546,1.935
12.61,4.369,-8.4,2.489,2.035
12.62,4.393,-8.379,2.431,2.137
12.63,4.417,-8.356,2.371,2.242
12.64,4.441,-8.331,2.311,2.348
12.65,4.463,-8.305,2.249,2.455
12.66,4.485,-8.278,2.187,2.562
12.67,4.506,-8.248,2.125,2.669
12.68,4.526,-8.218,2.065,2.773
12.69,4.545,-8.188,2.005,2.874
12.7,4.562,-8.157,1.946,2.974
12.71,4.578,-8.126,1.888,3.072
12.72,4.594,-8.093,1.83,3.169
12.73,4.608,-8.059,1.772,3.266
12.74,4.623,-8.023,1.713,3.364
12.75,4.637,-7.985,1.653,3.462
12.76,4.65,-7.946,1.592,3.563
12.77,4.664,-7.904,1.529,3.664
12.78,4.677,-7.86,1.466,3.767
12.79,4.689,-7.813,1.401,3.871
12.8,4.701,-7.765,1.336,3.975
12.81,4.712,-7.715,1.269,4.08
12.82,4.723,-7.662,1.202,4.186
12.83,4.733,-7.607,1.133,4.293
12.84,4.742,-7.55,1.064,4.4
12.85,4.751,-7.49,0.993,4.509
12.86,4.759,-7.427,0.921,4.619
12.87,4.766,-7.361,0.848,4.729
12.88,4.772,-7.294,0.774,4.839
12.89,4.777,-7.225,0.701,4.947
12.9,4.78,-7.154,0.628,5.055
12.91,4.782,-7.084,0.557,5.16
12.92,4.783,-7.013,0.487,5.261
12.93,4.783,-6.942,0.418,5.36
12.94,4.782,-6.87,0.349,5.459
12.95,4.78,-6.795,0.28,5.556
12.96,4.777,-6.718,0.21,5.655
12.97,4.773,-6.637,0.137,5.756
12.98,4.769,-6.549,0.061,5.86
12.99,4.763,-6.457,-0.017,5.967
13,4.756,-6.36,-0.098,6.075
13.01,4.748,-6.259,-0.18,6.183
13.02,4.738,-6.155,-0.263,6.292
13.03,4.727,-6.048,-0.346,6.399
13.04,4.714,-5.939,-0.429,6.504
13.05,4.701,-5.828,-0.512,6.608
13.06,4.685,-5.713,-0.594,6.711
13.07,4.668,-5.596,-0.677,6.813
13.08,4.649,-5.474,-0.761,6.915
13.09,4.629,-5.348,-0.847,7.017
13.1,4.607,-5.218,-0.933,7.118
13.11,4.583,-5.086,-1.019,7.217
13.12,4.557,-4.952,-1.104,7.312
13.13,4.53,-4.817,-1.188,7.405
13.14,4.502,-4.683,-1.27,7.495
13.15,4.473,-4.55,-1.349,7.579
13.16,4.444,-4.419,-1.425,7.66
13.17,4.413,-4.289,-1.5,7.737
13.18,4.381,-4.159,-1.572,7.811
13.19,4.349,-4.028,-1.644,7.883
13.2,4.315,-3.896,-1.715,7.953
13.21,4.28,-3.761,-1.786,8.021
13.22,4.243,-3.623,-1.858,8.087
13.23,4.205,-3.481,-1.93,8.152
13.24,4.165,-3.336,-2.002,8.216
13.25,4.123,-3.188,-2.074,8.278
13.26,4.08,-3.037,-2.146,8.337
13.27,4.036,-2.885,-2.217,8.394
13.28,3.99,-2.731,-2.287,8.449
13.29,3.942,-2.574,-2.357,8.501
13.3,3.893,-2.413,-2.426,8.551
13.31,3.842,-2.25,-2.496,8.598
13.32,3.789,-2.085,-2.565,8.643
13.33,3.734,-1.918,-2.633,8.685
13.34,3.678,-1.749,-2.7,8.724
13.35,3.62,-1.578,-2.768,8.76
13.36,3.561,-1.406,-2.834,8.792
13.37,3.5,-1.235,-2.9,8.82
13.38,3.439,-1.066,-2.964,8.845
13.39,3.379,-0.899,-3.021,8.868
13.4,3.318,-0.735,-3.076,8.887
13.41,3.256,-0.574,-3.13,8.902
13.42,3.194,-0.41,-3.183,8.915
13.43,3.129,-0.241,-3.236,8.925
13.44,3.061,-0.069,-3.29,8.932
13.45,2.993,0.102,-3.34,8.936
13.46,2.924,0.274,-3.391,8.936
13.47,2.854,0.447,-3.446,8.931
13.48,2.784,0.619,-3.492,8.925
13.49,2.714,0.787,-3.536,8.916
13.5,2.644,0.954,-3.58,8.903
13.51,2.573,1.122,-3.619,8.889
13.52,2.499,1.291,-3.659,8.87
13.53,2.425,1.463,-3.699,8.848
13.54,2.35,1.633,-3.734,8.823
13.55,2.274,1.801,-3.77,8.795
13.56,2.201,1.967,-3.802,8.764
13.57,2.127,2.128,-3.831,8.732
13.58,2.055,2.284,-3.859,8.698
13.59,1.986,2.435,-3.884,8.662
13.6,1.917,2.58,-3.906,8.625
13.61,1.85,2.721,-3.927,8.587
13.62,1.783,2.861,-3.945,8.548
13.63,1.717,2.996,-3.961,8.507
13.64,1.653,3.126,-3.977,8.465
13.65,1.59,3.254,-3.989,8.423
13.66,1.529,3.378,-4.001,8.38
13.67,1.467,3.499,-4.01,8.337
13.68,1.408,3.617,-4.018,8.293
13.69,1.35,3.731,-4.025,8.249
13.7,1.293,3.84,-4.03,8.205
13.71,1.238,3.948,-4.033,8.161
13.72,1.183,4.053,-4.036,8.116
13.73,1.129,4.156,-4.037,8.071
13.74,1.077,4.256,-4.037,8.025
13.75,1.024,4.356,-4.038,7.978
13.76,0.973,4.454,-4.037,7.931
13.77,0.922,4.55,-4.036,7.883
13.78,0.872,4.644,-4.034,7.835
13.79,0.821,4.738,-4.031,7.785
13.8,0.772,4.831,-4.029,7.734
13.81,0.72,4.925,-4.026,7.681
13.82,0.669,5.019,-4.022,7.627
13.83,0.618,5.114,-4.018,7.57
13.84,0.565,5.208,-4.013,7.512
13.85,0.514,5.302,-4.009,7.452
13.86,0.463,5.395,-4.004,7.392
13.87,0.412,5.487,-3.998,7.33
13.88,0.361,5.578,-3.992,7.266
13.89,0.311,5.669,-3.985,7.202
13.9,0.26,5.758,-3.978,7.137
13.91,0.211,5.846,-3.971,7.071
13.92,0.16,5.934,-3.962,7.003
13.93,0.111,6.02,-3.954,6.935
13.94,0.063,6.105,-3.945,6.866
13.95,0.014,6.19,-3.935,6.796
13.96,-0.034,6.273,-3.925,6.724
13.97,-0.082,6.355,-3.915,6.652
13.98,-0.13,6.437,-3.904,6.58
13.99,-0.177,6.517,-3.893,6.505
14,-0.224,6.597,-3.882,6.43
14.01,-0.272,6.676,-3.87,6.353
14.02,-0.319,6.755,-3.858,6.275
14.03,-0.366,6.833,-3.845,6.194
14.04,-0.413,6.911,-3.832,6.113
14.05,-0.461,6.989,-3.818,6.028
14.06,-0.509,7.066,-3.805,5.943
14.07,-0.557,7.142,-3.791,5.857
14.08,-0.603,7.215,-3.777,5.77
14.09,-0.649,7.282,-3.769,5.685
