ts,latitude,longitude,satellites
-0.56,48.80380630493164,12.548727035522461,12
-0.36,48.80380630493164,12.548727035522461,12
-0.16,48.80380630493164,12.548727035522461,12
0.44,48.803810119628906,12.548731803894043,0
0.54,48.803810119628906,12.548731803894043,12
0.74,48.803810119628906,12.548742294311523,12
0.94,48.803810119628906,12.548742294311523,12
1.14,48.803810119628906,12.548742294311523,0
2.44,48.803958892822266,12.548961639404297,0
2.54,48.803958892822266,12.548961639404297,12
2.64,48.803993225097656,12.549038887023926,12
2.84,48.80403137207031,12.549107551574707,12
3.24,48.80411911010742,12.549271583557129,12
3.44,48.804161071777344,12.549355506896973,12
3.64,48.804203033447266,12.549439430236816,12
3.84,48.80424499511719,12.549521446228027,12
4.24,48.80432891845703,12.549684524536133,12
4.44,48.80436706542969,12.549764633178711,12
4.54,48.80436706542969,12.549764633178711,12
4.64,48.80440902709961,12.549844741821289,12
4.84,48.804447174072266,12.549925804138184,12
5.24,48.804527282714844,12.550087928771973,12
5.44,48.804569244384766,12.550167083740234,12
5.74,48.804569244384766,12.550167083740234,12
6.14,48.804569244384766,12.550167083740234,0
7.04,48.80495071411133,12.550812721252441,0
7.44,48.8050537109375,12.550972938537598,0
7.64,48.80510711669922,12.551053047180176,0
7.94,48.80516052246094,12.551128387451172,0
8.24,48.805274963378906,12.551279067993164,0
8.44,48.805335998535156,12.551355361938477,0
8.54,48.805335998535156,12.551355361938477,0
8.64,48.80539321899414,12.551434516906738,0
8.84,48.805450439453125,12.551512718200684,0
9.24,48.80557632446289,12.551666259765625,0
9.44,48.80557632446289,12.551666259765625,12
9.54,48.805641174316406,12.551742553710938,12
9.64,48.80538558959961,12.551836967468262,12
9.84,48.8054084777832,12.551912307739258,12
10.24,48.80548858642578,12.552072525024414,12
10.44,48.80552673339844,12.552149772644043,12
10.54,48.80552673339844,12.552149772644043,12
10.64,48.80556106567383,12.552227020263672,12
10.84,48.805599212646484,12.552303314208984,12
11.24,48.8056755065918,12.552454948425293,12
11.44,48.80571365356445,12.552531242370605,12
11.64,48.80571365356445,12.552531242370605,12
11.74,48.80575180053711,12.552605628967285,12
11.84,48.805789947509766,12.552679061889648,12
12.34,48.80582809448242,12.552756309509277,12
12.54,48.80582809448242,12.552756309509277,0
13.24,48.80604553222656,12.553205490112305,0
13.54,48.80604553222656,12.553205490112305,12
13.64,48.80612564086914,12.553359031677246,0
13.84,48.80616760253906,12.553436279296875,12
14.24,48.806251525878906,12.553587913513184,12
14.44,48.806297302246094,12.553666114807129,12
14.54,48.806297302246094,12.553666114807129,12
14.64,48.80634689331055,12.553739547729492,12
14.84,48.80638885498047,12.553813934326172,12
15.24,48.80648422241211,12.55394172668457,12
15.44,48.80653381347656,12.554020881652832,12
15.64,48.80657958984375,12.554093360900879,12
15.84,48.80663299560547,12.554160118103027,12
16.14,48.80667495727539,12.554215431213379,12
16.24,48.806705474853516,12.554271697998047,12
16.44,48.8067512512207,12.55433177947998,12
16.54,48.8067512512207,12.55433177947998,12
16.64,48.806793212890625,12.554386138916016,12
16.84,48.80683135986328,12.554445266723633,12
17.24,48.80689239501953,12.55457878112793,12
17.34,48.80689239501953,12.55457878112793,12
17.44,48.80693054199219,12.554647445678711,12
17.54,48.80693054199219,12.554647445678711,12
17.64,48.806976318359375,12.554720878601074,12
17.74,48.806976318359375,12.554720878601074,12
17.84,48.8070182800293,12.554780960083008,12
18.24,48.8071174621582,12.554943084716797,12
18.44,48.807167053222656,12.55500602722168,12
18.54,48.807167053222656,12.55500602722168,12
18.64,48.807220458984375,12.55509090423584,12
18.74,48.807220458984375,12.55509090423584,12
18.84,48.80727005004883,12.555168151855469,12
19.24,48.80732345581055,12.555257797241211,12
19.34,48.80738067626953,12.55534553527832,12
19.44,48.807437896728516,12.555418968200684,12
19.64,48.80747604370117,12.555509567260742,12
19.84,48.80752182006836,12.555599212646484,12
20.24,48.8076171875,12.555761337280273,12
20.44,48.80765914916992,12.555843353271484,12
