ts,id,T,P
1.235,BARO0,44.22,98300
1.245,BARO0,44.23,98303
1.255,BARO0,44.23,98285
1.265,BARO0,44.23,98290
1.275,BARO0,44.24,98304
1.285,BARO0,44.22,98265
1.295,BARO0,44.23,98280
1.305,BARO0,44.22,98255
1.315,BARO0,44.23,98265
1.325,BARO0,44.23,98258
1.335,BARO0,44.22,98242
1.345,BARO0,44.22,98233
1.355,BARO0,44.22,98240
1.365,BARO0,44.22,98234
1.375,BARO0,44.21,98227
1.385,BARO0,44.22,98223
1.395,BARO0,44.21,98180
1.405,BARO0,44.23,98208
1.415,BARO0,44.23,98183
1.425,BARO0,44.23,98185
1.435,BARO0,44.22,98169
1.445,BARO0,44.22,98174
1.455,BARO0,44.22,98146
1.465,BARO0,44.22,98140
1.475,BARO0,44.24,98132
1.485,BARO0,44.22,98124
1.495,BARO0,44.22,98108
1.505,BARO0,44.23,98087
1.515,BARO0,44.23,98075
1.525,BARO0,44.23,98047
1.535,BARO0,44.24,98045
1.545,BARO0,44.23,98034
1.555,BARO0,44.22,98012
1.565,BARO0,44.23,98004
1.575,BARO0,44.22,97997
1.585,BARO0,44.22,97971
1.595,BARO0,44.23,97984
1.605,BARO0,44.23,97976
1.615,BARO0,44.23,97951
1.625,BARO0,44.23,97958
1.635,BARO0,44.23,97942
1.645,BARO0,44.23,97942
1.655,BARO0,44.23,97930
1.665,BARO0,44.22,97927
1.675,BARO0,44.23,97924
1.685,BARO0,44.23,97920
1.695,BARO0,44.22,97910
1.705,BARO0,44.23,97899
1.715,BARO0,44.22,97895
1.725,BARO0,44.23,97890
1.735,BARO0,44.23,97893
1.745,BARO0,44.24,97886
1.755,BARO0,44.22,97878
1.765,BARO0,44.22,97882
1.775,BARO0,44.22,97871
1.785,BARO0,44.24,97886
1.795,BARO0,44.21,97880
1.805,BARO0,44.23,97875
1.815,BARO0,44.23,97869
1.825,BARO0,44.22,97854
1.835,BARO0,44.23,97857
1.845,BARO0,44.23,97851
1.855,BARO0,44.23,97856
1.865,BARO0,44.22,97831
1.875,BARO0,44.21,97855
1.885,BARO0,44.22,97865
1.895,BARO0,44.24,97870
1.905,BARO0,44.22,97858
1.915,BARO0,44.23,97842
1.925,BARO0,44.22,97836
1.935,BARO0,44.23,97815
1.945,BARO0,44.23,97808
1.955,BARO0,44.23,97811
1.965,BARO0,44.23,97827
1.975,BARO0,44.22,97818
1.985,BARO0,44.23,97830
1.995,BARO0,44.23,97809
2.005,BARO0,44.23,97816
2.015,BARO0,44.22,97796
2.025,BARO0,44.21,97795
2.035,BARO0,44.22,97780
2.045,BARO0,44.22,97782
2.055,BARO0,44.23,97778
2.065,BARO0,44.23,97770
2.075,BARO0,44.23,97791
2.085,BARO0,44.23,97776
2.095,BARO0,44.22,97771
2.105,BARO0,44.22,97750
2.115,BARO0,44.25,97746
2.125,BARO0,44.24,97747
2.135,BARO0,44.22,97748
2.145,BARO0,44.23,97749
2.155,BARO0,44.22,97733
2.165,BARO0,44.23,97725
2.175,BARO0,44.22,97719
2.185,BARO0,44.23,97726
2.195,BARO0,44.22,97728
2.205,BARO0,44.23,97702
2.215,BARO0,44.23,97689
2.225,BARO0,44.22,97695
2.235,BARO0,44.23,97679
2.245,BARO0,44.23,97668
2.255,BARO0,44.22,97675
2.265,BARO0,44.23,97667
2.275,BARO0,44.21,97650
