ts,height,velocity,acceleration
-0.75,0.15328314900398254,0.03916895389556885,0.00786587968468666
-0.74,0.14607834815979004,0.031388361006975174,0.007743500173091888
-0.73,0.13897299766540527,0.02378992736339569,0.007623974233865738
-0.72,0.13193872570991516,0.016342444345355034,0.007506817579269409
-0.71,0.1249755471944809,0.009044397622346878,0.0073920078575611115
-0.7,0.11978026479482651,0.0036496641114354134,0.0073068514466285706
-0.69,0.1250467449426651,0.009132975712418556,0.007391098886728287
-0.68,0.11985086649656296,0.003736705519258976,0.007305920124053955
-0.67,0.11822804808616638,0.0020918685477226973,0.0072791688144207
-0.66,0.11662235856056213,0.0004814938874915242,0.007252957671880722
-0.65,0.11503377556800842,-0.001094783190637827,0.0072272829711437225
-0.64,0.11346229165792465,-0.0026373271830379963,0.007202137261629105
-0.63,0.11190786957740784,-0.004146501421928406,0.00717751681804657
-0.62,0.12244018912315369,0.006863875314593315,0.007347848266363144
-0.61,0.13286468386650085,0.017650481313467026,0.007514666765928268
-0.6,0.14318135380744934,0.028215615078806877,0.0076780132949352264
-0.59,0.1550823301076889,0.04031211510300636,0.00786517933011055
-0.58,0.1687014400959015,0.05406279116868973,0.008078072220087051
-0.57,0.18894131481647491,0.07452274858951569,0.008395407348871231
-0.56,0.2003583312034607,0.08555153012275696,-0.0009932629764080048
-0.55,0.2116495817899704,0.09633781760931015,-0.0008251480758190155
-0.54,0.22281526029109955,0.10688427090644836,-0.0006607957184314728
-0.53,0.2318875640630722,0.1151575893163681,-0.0005318634212017059
-0.52,0.2408551275730133,0.12323823571205139,-0.0004059523344039917
-0.51,0.24803391098976135,0.12938597798347473,-0.00031016021966934204
-0.5,0.25510403513908386,0.13535866141319275,-0.00021710991859436035
-0.49,0.25508636236190796,0.13393789529800415,-0.0002392008900642395
-0.48,0.25504979491233826,0.13251209259033203,-0.0002613663673400879
-0.47,0.25328168272972107,0.12930944561958313,-0.00031119585037231445
-0.46,0.2515183985233307,0.1261444389820099,-0.00036043301224708557
-0.45,0.248032808303833,0.12122990190982819,-0.0004369020462036133
-0.44,0.24629834294319153,0.11827213317155838,0.009076204150915146
-0.43,0.24284347891807556,0.1136598214507103,0.018563974648714066
-0.42,0.23941420018672943,0.1091209277510643,0.01849040761590004
-0.41,0.239456444978714,0.1082196831703186,0.018473494797945023
-0.4,0.24123889207839966,0.10912790894508362,0.01848476007580757
-0.39,0.24638356268405914,0.11350519210100174,0.018550042062997818
-0.38,0.251465767621994,0.11777321249246597,0.01861361414194107
-0.37,0.26004940271377563,0.12552495300769806,0.009170420467853546
-0.36,0.26853320002555847,0.1330944150686264,0.00928686186671257
-0.35,0.2733532190322876,0.13679639995098114,0.009343061596155167
-0.34,0.2781107723712921,0.14039602875709534,0.009397659450769424
-0.33,0.2828057110309601,0.1437990665435791,-0.00010991096496582031
-0.32,0.28043368458747864,0.13976122438907623,-0.00973377376794815
-0.31,0.27455615997314453,0.1321379840373993,-0.009850963950157166
-0.3,0.2548578381538391,0.11029433459043503,-0.010189566761255264
-0.29,0.24584732949733734,0.09982533752918243,-0.0007899962365627289
-0.28,0.23691877722740173,0.08954783529043198,-0.000949908047914505
-0.27,0.2314409762620926,0.08294498920440674,-0.0010525770485401154
-0.26,0.22601066529750824,0.07645856589078903,-0.001153416931629181
-0.25,0.21725943684577942,0.06660264730453491,-0.0013067089021205902
-0.24,0.20859134197235107,0.05702827870845795,0.008103504776954651
-0.23,0.20514172315597534,0.05295015498995781,0.00803874060511589
-0.22,0.2138679474592209,0.06160508096218109,0.017733260989189148
-0.21,0.2225002497434616,0.07007461786270142,0.017862383276224136
-0.2,0.23103873431682587,0.07836076617240906,0.017988629639148712
-0.19,0.2376517653465271,0.08457047492265701,0.018082521855831146
-0.18,0.24419018626213074,0.09063970297574997,0.01817421242594719
-0.17,0.24885080754756927,0.09470441192388535,0.018234677612781525
-0.16,0.2552591562271118,0.10053575038909912,0.018322639167308807
-0.15,0.261594295501709,0.10642216354608536,0.03752963989973068
-0.14,0.2660564184188843,0.11078637093305588,0.08539295196533203
-0.13,0.26526063680648804,0.11318588256835938,0.4391331374645233
-0.12,0.26470881700515747,0.1572847217321396,4.607873916625977
-0.11,0.26480865478515625,0.24392932653427124,8.862667083740234
-0.1,0.2657940089702606,0.33848831057548523,9.656233787536621
-0.09,0.26784181594848633,0.4649377763271332,12.849710464477539
-0.08,0.27318090200424194,0.6406629681587219,17.592164993286133
-0.07,0.26992177963256836,0.8466715812683105,21.712955474853516
-0.06,0.2792501151561737,1.0820225477218628,23.567861557006836
-0.05,0.2960416078567505,1.3408273458480835,25.394163131713867
-0.04,0.3202288746833801,1.628196358680725,27.765544891357422
-0.03,0.350263386964798,1.9364303350448608,29.553726196289062
-0.02,0.3828064501285553,2.265284299850464,31.68610382080078
-0.01,0.41798391938209534,2.6018340587615967,32.52768325805664
0,0.45578300952911377,2.9468424320220947,33.45530700683594
0.01,0.486985445022583,3.283595085144043,33.67521667480469
0.02,0.5215793251991272,3.6258938312530518,34.22977828979492
0.03,0.559614896774292,3.972782611846924,34.688724517822266
0.04,0.6011164784431458,4.320053577423096,34.72697067260742
0.05,0.6460750102996826,4.667324542999268,34.72697067260742
0.06,0.6945204138755798,5.018515586853027,35.11899185180664
0.07,0.7465322017669678,5.374203205108643,35.56837844848633
0.08,0.8021272420883179,5.736392498016357,36.21855163574219
0.09,0.8613710999488831,6.105274677276611,36.887847900390625
0.1,0.9243728518486023,6.483625888824463,37.83442687988281
0.11,0.9912237524986267,6.870872974395752,38.723636627197266
0.12,1.0619608163833618,7.262422561645508,39.15390396118164
0.13,1.1366281509399414,7.656650543212891,39.42162322998047
0.14,1.2152600288391113,8.057092666625977,40.043113708496094
0.15,1.2979542016983032,8.465092658996582,40.7984619140625
0.16,1.3847867250442505,8.873106002807617,40.7984619140625
0.17,1.4756896495819092,9.281119346618652,40.7984619140625
0.18,1.5706623792648315,9.689132690429688,40.7984619140625
0.19,1.669615626335144,10.097122192382812,40.7984619140625
0.2,1.7726877927780151,10.497485160827637,40.03355026245117
0.21,1.8797515630722046,10.897846221923828,40.03355026245117
0.22,1.9908063411712646,11.29820442199707,40.03355026245117
0.23,2.1059024333953857,11.698575973510742,40.03355026245117
0.24,2.224937677383423,12.09892749786377,40.03355026245117
0.25,2.3479819297790527,12.503290176391602,40.43513107299805
0.26,2.4751155376434326,12.909483909606934,40.616798400878906
0.27,2.606361150741577,13.318466186523438,40.89407730102539
0.28,2.741750955581665,13.731002807617188,41.24784851074219
0.29,2.881260395050049,14.143539428710938,41.24784851074219
0.3,3.02487850189209,14.556071281433105,41.24784851074219
0.31,3.1726043224334717,14.968597412109375,41.24784851074219
0.36,3.97271728515625,17.017362594604492,40.9705696105957
0.37,4.1450066566467285,17.424245834350586,40.6837272644043
0.38,4.3213419914245605,17.831117630004883,40.6837272644043
0.39,4.50184440612793,18.241573333740234,41.03749465942383
0.4,4.686462879180908,18.65203857421875,41.03749465942383
0.41,4.875209331512451,19.06252098083496,41.03749465942383
0.42,5.068035125732422,19.472990036010742,41.03749465942383
0.43,5.264930725097656,19.881723403930664,40.865394592285156
0.44,5.465939044952393,20.288665771484375,40.6837272644043
0.45,5.671029090881348,20.691139221191406,40.23434066772461
0.46,5.880123138427734,21.092647552490234,40.138729095458984
0.47,6.093239784240723,21.491304397583008,39.85188674926758
0.48,6.310310363769531,21.88965606689453,39.82320022583008
0.49,6.5313215255737305,22.28578758239746,39.60328674316406
0.5,6.7563958168029785,22.681997299194336,39.60328674316406
0.51,6.985409736633301,23.08038330078125,39.82320022583008
0.52,7.218372344970703,23.478744506835938,39.82320022583008
0.53,7.455281734466553,23.877079010009766,39.82320022583008
0.54,7.69612455368042,24.273088455200195,39.593727111816406
0.55,7.94096565246582,24.667320251464844,39.41205978393555
0.56,8.189751625061035,25.061555862426758,39.41205978393555
0.57,8.44243335723877,25.45185089111328,39.020042419433594
0.58,8.699016571044922,25.84138298034668,38.94355392456055
0.59,8.959457397460938,26.229455947875977,38.80012893676758
0.6,9.223716735839844,26.614524841308594,38.503726959228516
0.61,9.49180793762207,26.99948501586914,38.49416732788086
0.62,9.763684272766113,27.381914138793945,38.245567321777344
0.63,10.039327621459961,27.763721466064453,38.18819808959961
0.64,10.31884479522705,28.144433975219727,38.073463439941406
0.65,10.602108001708984,28.52452278137207,38.01609420776367
0.66,10.889090538024902,28.900537490844727,37.61451721191406
0.67,11.18000316619873,29.27670669555664,37.61451721191406
0.68,11.474608421325684,29.651384353637695,37.471092224121094
0.69,11.77290153503418,30.023818969726562,37.251182556152344
0.7,12.074881553649902,30.394695281982422,37.09819793701172
0.71,12.380570411682129,30.764524459838867,36.99302291870117
0.72,12.689939498901367,31.133861541748047,36.94521713256836
0.73,13.002965927124023,31.499073028564453,36.53407669067383
0.74,13.31971549987793,31.861398696899414,36.237674713134766
0.75,13.640130043029785,32.22319412231445,36.18030548095703
0.76,13.964123725891113,32.58476257324219,36.16118240356445
0.77,14.291664123535156,32.945030212402344,36.03688430786133
0.78,14.622695922851562,33.30033493041992,35.549251556396484
0.79,14.957179069519043,33.65363693237305,35.35802459716797
0.8,15.29510498046875,33.99905014038086,34.57398986816406
0.81,15.636425018310547,34.34297561645508,34.43056869506836
0.82,15.98112678527832,34.682090759277344,33.95249938964844
0.83,16.329133987426758,35.020259857177734,33.8664436340332
0.84,16.68054962158203,35.35664749145508,33.68478012084961
0.85,17.035276412963867,35.685089111328125,32.89118194580078
0.86,17.393238067626953,36.01166915893555,32.70951461791992
0.87,17.75446891784668,36.33149719238281,32.03065490722656
0.88,18.11891746520996,36.64820861816406,31.71512794494629
0.89,18.486486434936523,36.964683532714844,31.69600486755371
0.9,18.857107162475586,37.27885437011719,31.476091384887695
0.91,19.230953216552734,37.591487884521484,31.313547134399414
0.92,19.60778045654297,37.90264892578125,31.179689407348633
0.93,19.987661361694336,38.213279724121094,31.131879806518555
0.94,20.370529174804688,38.523216247558594,31.074514389038086
0.95,20.756507873535156,38.829933166503906,30.749425888061523
0.96,21.1455135345459,39.13508605957031,30.5964412689209
0.97,21.537534713745117,39.44010925292969,30.586881637573242
0.98,21.932598114013672,39.74455642700195,30.529516220092773
0.99,22.330533981323242,40.04883575439453,30.529516220092773
1,22.73153305053711,40.35256576538086,30.47214698791504
1.01,23.135459899902344,40.656761169433594,30.529516220092773
1.02,23.542383193969727,40.961483001708984,30.586881637573242
1.03,23.952539443969727,41.264007568359375,30.347848892211914
1.04,24.36566925048828,41.56638717651367,30.338285446166992
1.05,24.781618118286133,41.86714172363281,30.19486427307129
1.06,25.20077896118164,42.16809844970703,30.19486427307129
1.07,25.622709274291992,42.46292495727539,29.6020565032959
1.08,26.04747200012207,42.7548828125,29.32477378845215
1.09,26.475122451782227,43.04557418823242,29.20047950744629
1.1,26.905439376831055,43.33403778076172,28.99968910217285
1.11,27.338729858398438,43.622589111328125,28.99968910217285
1.12,27.775081634521484,43.910457611083984,28.913637161254883
1.13,28.214187622070312,44.19763946533203,28.85626792907715
1.14,28.65608787536621,44.48474884033203,28.85626792907715
1.15,29.10077667236328,44.77178192138672,28.85626792907715
1.16,29.548110961914062,45.058223724365234,28.818021774291992
1.17,29.998170852661133,45.3443489074707,28.79890251159668
1.18,30.451181411743164,45.63056564331055,28.79890251159668
1.19,30.907333374023438,45.915428161621094,28.636354446411133
1.2,31.36623191833496,46.19972610473633,28.58854866027832
1.21,31.82781410217285,46.482357025146484,28.43556785583496
1.22,32.292057037353516,46.76398468017578,28.349515914916992
1.23,32.75910949707031,47.045318603515625,28.320829391479492
1.24,33.2287483215332,47.32606887817383,28.282583236694336
1.25,33.70133972167969,47.60696029663086,28.282583236694336
1.26,34.17645263671875,47.887020111083984,28.2252140045166
1.27,34.65401077270508,48.16675567626953,28.2252140045166
1.28,35.1341667175293,48.446319580078125,28.2252140045166
1.29,35.61674118041992,48.725162506103516,28.18697166442871
1.3,36.10171127319336,49.00336837768555,28.15828514099121
1.31,36.58964538574219,49.28032302856445,28.014863967895508
1.32,37.08023452758789,49.55699920654297,27.99574089050293
1.33,37.57316970825195,49.832061767578125,27.871442794799805
1.34,38.068729400634766,50.10673904418945,27.84276008605957
1.35,38.56755065917969,50.381893157958984,27.84276008605957
1.36,39.06867599487305,50.65645980834961,27.823637008666992
1.37,39.572547912597656,50.9310417175293,27.823637008666992
1.38,40.07889938354492,51.20539474487305,27.823637008666992
1.39,40.588401794433594,51.480125427246094,27.823637008666992
1.4,41.10029602050781,51.752742767333984,27.641969680786133
1.41,41.61484146118164,52.025306701660156,27.641969680786133
1.42,42.13167190551758,52.2974967956543,27.641969680786133
1.43,42.6511344909668,52.5689582824707,27.575037002563477
1.44,43.17306900024414,52.840126037597656,27.56547737121582
1.45,43.69829559326172,53.11048126220703,27.43161964416504
1.46,44.22744369506836,53.38124084472656,27.36469078063965
1.47,44.7589111328125,53.65091323852539,27.288198471069336
1.48,45.29273986816406,53.91726303100586,26.98223304748535
1.49,45.82913589477539,54.1820182800293,26.829248428344727
1.5,46.36800003051758,54.446632385253906,26.829248428344727
1.51,46.91083908081055,54.7123908996582,26.829248428344727
1.52,47.45624923706055,54.977516174316406,26.771879196166992
1.53,48.00439453125,55.24262619018555,26.762319564819336
1.54,48.55528259277344,55.50791549682617,26.771879196166992
1.55,49.1096305847168,55.77446746826172,26.829248428344727
1.56,49.66791915893555,56.04209899902344,26.829248428344727
1.57,50.22936248779297,56.30774688720703,26.590211868286133
1.58,50.79545593261719,56.57439422607422,26.523286819458008
1.59,51.363800048828125,56.84069061279297,26.523286819458008
1.6,51.93524932861328,57.10763168334961,26.551969528198242
1.61,52.510894775390625,57.375823974609375,26.551969528198242
1.62,53.089385986328125,57.643863677978516,26.523286819458008
1.63,53.670631408691406,57.91109085083008,26.43723487854004
1.64,54.25522994995117,58.17781448364258,26.332059860229492
1.65,54.842674255371094,58.443721771240234,26.2364444732666
1.66,55.432640075683594,58.70941162109375,26.226884841918945
1.67,56.02597427368164,58.975276947021484,26.188634872436523
1.68,56.622047424316406,59.24119186401367,26.188634872436523
1.69,57.22107696533203,59.50733184814453,26.188634872436523
1.7,57.822052001953125,59.77241134643555,26.14082908630371
1.71,58.426307678222656,60.03778839111328,26.121706008911133
1.72,59.032814025878906,60.30245590209961,26.083459854125977
1.73,59.64155197143555,60.565921783447266,25.997407913208008
1.74,60.252620697021484,60.829994201660156,26.083459854125977
1.75,60.86672592163086,61.093505859375,25.997407913208008
1.76,61.483985900878906,61.35502624511719,25.758371353149414
1.77,62.1035270690918,61.61579895019531,25.7105655670166
1.78,62.725074768066406,61.87580871582031,25.681882858276367
1.79,63.348731994628906,62.134281158447266,25.5671443939209
1.8,63.97459030151367,62.392356872558594,25.557580947875977
1.81,64.60211181640625,62.6495246887207,25.538461685180664
1.82,65.23179626464844,62.9063720703125,25.538461685180664
1.83,65.86334228515625,63.162296295166016,25.500215530395508
1.84,66.49671936035156,63.417476654052734,25.48109245300293
1.85,67.13204956054688,63.67133712768555,25.395036697387695
1.86,67.76942443847656,63.92463684082031,25.375917434692383
1.87,68.40853881835938,64.17705535888672,25.34723472595215
1.88,69.05081176757812,64.4291000366211,25.261178970336914
1.89,69.69463348388672,64.6790771484375,25.127317428588867
1.9,70.33980560302734,64.92820739746094,25.127317428588867
1.91,70.98629760742188,65.17647552490234,25.127317428588867
1.92,71.63406372070312,65.4234848022461,25.089075088500977
1.93,72.28305053710938,65.66902160644531,25.031705856323242
1.94,72.93338012695312,65.91375732421875,25.031705856323242
1.95,73.58485412597656,66.15784454345703,25.060392379760742
1.96,74.23950958251953,66.40249633789062,25.060392379760742
1.97,74.895263671875,66.64618682861328,25.060392379760742
1.98,75.55305480957031,66.88961029052734,25.060392379760742
1.99,76.21337890625,67.13179016113281,24.926530838012695
2,76.87467956542969,67.36980438232422,24.611005783081055
2.01,77.53841400146484,67.60627746582031,24.448461532592773
2.02,78.203369140625,67.84033966064453,24.285917282104492
2.03,78.86931610107422,68.0698471069336,23.922582626342773
2.04,79.53671264648438,68.29878997802734,23.922582626342773
2.05,80.20482635498047,68.52645874023438,23.903459548950195
2.06,80.87395477294922,68.75194549560547,23.769601821899414
2.07,81.54608154296875,68.97771453857422,23.740915298461914
2.08,82.21897888183594,69.20191192626953,23.683549880981445
2.09,82.89317321777344,69.42549896240234,23.683549880981445
2.1,83.56959533691406,69.64844512939453,23.61661720275879
2.11,84.24688720703125,69.87039184570312,23.607057571411133
2.12,84.92500305175781,70.09066009521484,23.53056526184082
2.13,85.60388946533203,70.309326171875,23.46363639831543
2.14,86.28411102294922,70.5273666381836,23.454072952270508
2.15,86.96484375,70.74431610107422,23.454072952270508
2.16,87.64990234375,70.9627914428711,23.454072952270508
2.17,88.33543395996094,71.18016052246094,23.454072952270508
2.18,89.0213851928711,71.39630126953125,23.44451332092285
2.19,89.70772552490234,71.61148834228516,23.46363639831543
2.2,90.39440155029297,71.82523345947266,23.434953689575195
2.21,91.08394622802734,72.03915405273438,23.39670753479004
2.22,91.77462768554688,72.25218963623047,23.36802101135254
2.23,92.46576690673828,72.46408081054688,23.358461380004883
2.24,93.15709686279297,72.6746597290039,23.34889793395996
2.25,93.84969329833984,72.88389587402344,23.262845993041992
2.26,94.54600524902344,73.0923843383789,23.071619033813477
2.27,95.24378967285156,73.300048828125,23.0238094329834
2.28,95.94278717041016,73.50712585449219,23.014249801635742
2.29,96.6439208984375,73.71431732177734,23.014249801635742
2.3,97.34576416015625,73.92040252685547,22.985567092895508
2.31,98.04901123046875,74.12613677978516,22.985567092895508
2.32,98.75218963623047,74.3304672241211,22.976003646850586
2.33,99.45646667480469,74.5337905883789,22.928194046020508
2.34,100.16228485107422,74.73268127441406,22.507497787475586
2.35,100.86837768554688,74.92931365966797,22.383195877075195
2.36,101.5764389038086,75.12413024902344,22.19196891784668
2.37,102.284423828125,75.3150634765625,21.92424964904785
2.38,102.99765014648438,75.50601959228516,21.7043399810791
2.39,103.71047973632812,75.69529724121094,21.6756534576416
2.4,104.42442321777344,75.88140106201172,21.398374557495117
2.41,105.14154052734375,76.06298065185547,20.85337257385254
2.42,105.8602294921875,76.24401092529297,20.805566787719727
2.43,106.57966613769531,76.42035675048828,20.394426345825195
2.44,107.30030059814453,76.58966827392578,19.715566635131836
2.45,108.02014923095703,76.75179290771484,19.141881942749023
2.46,108.74020385742188,76.90731048583984,18.558637619018555
2.47,109.46011352539062,77.05642700195312,18.013635635375977
2.48,110.18063354492188,77.19889831542969,17.39214515686035
2.49,110.90367126464844,77.33403015136719,16.57942771911621
2.5,111.62602996826172,77.46446990966797,16.22565269470215
2.51,112.34880065917969,77.58988952636719,15.766706466674805
2.52,113.07337188720703,77.7110595703125,15.298198699951172
2.53,113.79912567138672,77.8288803100586,14.953987121582031
2.54,114.52336120605469,77.93875885009766,14.313373565673828
2.55,115.25196075439453,78.04556274414062,13.79705810546875
2.56,115.98102569580078,78.14903259277344,13.491092681884766
2.57,116.70958709716797,78.24834442138672,13.156444549560547
2.58,117.4388198852539,78.34220886230469,12.62100601196289
2.59,118.16869354248047,78.43474578857422,12.496707916259766
2.6,118.89697265625,78.5215835571289,12.066444396972656
2.61,119.62548828125,78.6053695678711,11.789163589477539
2.62,120.35453796386719,78.68753814697266,11.636180877685547
2.63,121.08182525634766,78.7650375366211,11.311094284057617
2.64,121.8131103515625,78.84014892578125,10.871269226074219
2.65,122.54481506347656,78.90848541259766,10.201971054077148
2.66,123.2759017944336,78.97319793701172,9.905567169189453
2.67,124.00499725341797,79.03369140625,9.628286361694336
2.68,124.73235321044922,79.08451843261719,8.786884307861328
2.69,125.46223449707031,79.1329116821289,8.41398811340332
2.7,126.19194030761719,79.17643737792969,7.9550395011901855
2.71,126.9186782836914,79.21312713623047,7.457849025726318
2.72,127.64683532714844,79.24833679199219,7.237935543060303
2.73,128.3760528564453,79.27996063232422,6.8267951011657715
2.74,129.10633850097656,79.30867004394531,6.482583522796631
2.75,129.83486938476562,79.33602142333984,6.4539008140563965
2.76,130.56124877929688,79.36198425292969,6.444337368011475
2.77,131.28831481933594,79.38609313964844,6.224427700042725
2.78,132.01275634765625,79.40373229980469,5.727232456207275
2.79,132.7341766357422,79.41641235351562,5.402144908905029
2.8,133.46014404296875,79.4253158569336,4.761531352996826
2.81,134.18479919433594,79.4297103881836,4.379074573516846
2.82,134.90921020507812,79.43051147460938,4.025303363800049
2.83,135.63185119628906,79.42469024658203,3.4516196250915527
2.84,136.35226440429688,79.41204071044922,2.8779349327087402
2.85,137.0703582763672,79.3934097290039,2.390303134918213
2.86,137.78948974609375,79.36965942382812,1.7974953651428223
2.87,138.5061798095703,79.3367691040039,0.9943375587463379
2.88,139.2268829345703,79.29925537109375,0.27723267674446106
2.89,139.94578552246094,79.25255584716797,-0.5737318992614746
2.9,140.6667022705078,79.20008087158203,-1.300398349761963
2.91,141.38369750976562,79.14164733886719,-1.7211003303527832
2.92,142.0974884033203,79.07672882080078,-2.2374162673950195
2.93,142.8100128173828,79.00508117675781,-2.88759183883667
2.94,143.5211944580078,78.92843627929688,-3.365662097930908
2.95,144.23098754882812,78.84535217285156,-3.9871530532836914
2.96,144.9381103515625,78.75957489013672,-4.168819904327393
2.97,145.64749145507812,78.67558288574219,-4.168819904327393
2.98,146.35382080078125,78.58877563476562,-4.340925216674805
2.99,147.0574493408203,78.4954605102539,-4.905048370361328
3,147.65097045898438,78.3419418334961,-5.058030605316162
3.01,148.23489379882812,78.18138122558594,-5.354434013366699
3.02,148.8192596435547,78.02217102050781,-5.354434013366699
3.03,149.41636657714844,77.87076568603516,-5.363995552062988
3.04,150.010986328125,77.71870422363281,-5.402240753173828
