altitude,speed,direction,stddev
243.0,3.224903,277.1249,
356.0,3.224903,277.1249,
436.0,4.418144,275.19434,
456.0,4.475197,275.31445,
476.0,4.6270943,276.20334,
536.0,6.152235,277.47147,
674.0,6.430971,290.55612,
896.3169555664062,6.2030993,292.02734,
1123.5802001953125,5.979628,293.6096,
