height,pressure,temperature,wind_u,wind_v
139.0,100000.0,282.75,-1.1999997,0.500001
348.8257751464844,97500.0,281.39697,-1.1913978,0.5188175
410.0,96769.265625,279.9485,-0.89999926,0.700001
490.0,95828.328125,279.4485,-1.5000021,1.2999976
530.0,95360.796875,279.2485,-1.199998,1.4000018
563.0,95000.0,280.04395,-1.1827958,0.53763425
590.0,94662.7109375,278.84848,-0.8999997,1.4000002
782.0,92500.0,278.8375,-1.4525145,0.89385355
1005.0,90000.0,277.66614,-0.6976729,1.1627915
1469.0,85000.0,274.59827,-0.5063294,0.6329112
