0.006,0.635
0.008,0.615
0.009,0.595
0.011,0.577
0.013,0.562
0.015,0.548
0.016,0.537
0.018,0.527
0.02,0.518
0.022,0.51
0.024,0.503
0.027,0.497
0.029,0.491
0.031,0.486
0.033,0.481
0.035,0.476
0.037,0.472
0.039,0.468
0.041,0.464
0.043,0.461
0.045,0.458
0.047,0.455
0.049,0.452
0.051,0.449
0.053,0.447
0.055,0.444
0.057,0.442
0.06,0.439
0.062,0.437
0.064,0.435
0.066,0.433
0.068,0.431
0.07,0.429
0.072,0.427
0.074,0.426
0.076,0.424
0.078,0.422
0.081,0.421
0.083,0.419
0.085,0.418
0.087,0.416
0.089,0.415
0.091,0.414
0.093,0.412
0.095,0.411
0.097,0.41
0.1,0.409
0.102,0.408
0.104,0.407
0.106,0.405
0.108,0.404
0.11,0.403
0.112,0.402
0.114,0.401
0.117,0.4
0.119,0.399
0.122,0.398
0.127,0.396
0.134,0.393
0.145,0.389
0.155,0.386
0.166,0.383
0.177,0.38
0.188,0.377
0.198,0.375
0.209,0.372
0.22,0.37
0.231,0.368
0.242,0.366
0.253,0.365
0.264,0.363
0.275,0.362
0.286,0.36
0.296,0.359
0.307,0.358
0.318,0.357
0.329,0.356
0.341,0.355
0.352,0.354
0.363,0.353
0.374,0.352
0.385,0.351
0.396,0.351
0.407,0.35
0.418,0.349
0.429,0.349
0.441,0.348
0.452,0.348
0.463,0.348
0.474,0.347
0.485,0.347
0.496,0.347
0.508,0.347
0.519,0.346
0.53,0.346
0.541,0.346
0.553,0.346
0.564,0.346
0.575,0.346
0.586,0.346
0.598,0.346
0.609,0.346
0.62,0.347
0.632,0.347
0.643,0.347
0.654,0.347
0.665,0.348
0.677,0.348
0.688,0.348
0.699,0.349
0.711,0.349
0.722,0.35
0.733,0.35
0.745,0.351
0.756,0.352
0.768,0.352
0.779,0.353
0.79,0.354
0.801,0.355
0.813,0.356
0.824,0.357
0.835,0.358
0.847,0.359
0.858,0.361
0.869,0.362
0.88,0.363
0.891,0.365
0.903,0.367
0.914,0.368
0.925,0.37
0.936,0.371
0.947,0.373
0.958,0.375
0.97,0.377
0.981,0.379
0.992,0.382
1.003,0.384
1.013,0.388
1.024,0.392
1.035,0.396
1.046,0.4
1.057,0.402
1.068,0.403
1.079,0.404
1.089,0.405
1.1,0.407
1.111,0.406
1.122,0.405
1.132,0.405
1.143,0.404
1.154,0.404
1.164,0.403
1.175,0.403
1.185,0.403
1.196,0.402
1.206,0.402
1.217,0.4
1.228,0.399
1.238,0.399
1.249,0.398
1.259,0.397
1.27,0.396
1.28,0.395
1.29,0.394
1.301,0.393
1.311,0.392
1.322,0.391
1.332,0.391
1.343,0.39
1.353,0.389
1.363,0.388
1.374,0.387
1.384,0.387
1.395,0.386
1.405,0.385
1.415,0.384
1.426,0.383
1.436,0.382
1.446,0.38
1.457,0.379
1.467,0.378
1.477,0.377
1.488,0.376
1.498,0.375
1.509,0.374
1.519,0.373
1.529,0.372
1.54,0.371
1.55,0.37
1.56,0.369
1.57,0.368
1.581,0.367
1.591,0.366
1.602,0.365
1.612,0.364
1.622,0.363
1.632,0.362
1.643,0.361
1.653,0.36
1.663,0.359
1.674,0.358
1.684,0.357
1.695,0.356
1.705,0.355
1.715,0.353
1.726,0.352
1.736,0.351
1.747,0.35
1.757,0.349
