Scalar,Scalar
8.011393,-8.030317
8.050206,-8.030292
8.102818,-8.030259
8.155430,-8.030225
8.208042,-8.030192
8.267643,-8.030154
8.327244,-8.030117
8.386845,-8.030079
8.462969,-8.030032
8.539093,-8.029985
8.615217,-8.029938
8.691184,-8.029891
8.729746,-8.029867
8.761173,-8.029848
8.792601,-8.029829
8.824028,-8.029810
8.860963,-8.029787
8.890517,-8.029770
8.920071,-8.029752
8.949624,-8.029734
8.986538,-8.029712
9.023452,-8.029689
9.060366,-8.029667
9.097280,-8.029645
9.134193,-8.029623
9.171107,-8.029601
9.208021,-8.029579
9.241429,-8.029560
9.274838,-8.029540
9.308246,-8.029520
9.341654,-8.029500
9.375063,-8.029481
9.408471,-8.029461
9.441880,-8.029442
9.475288,-8.029422
9.508696,-8.029403
9.552245,-8.029377
9.595793,-8.029352
9.639341,-8.029327
9.682889,-8.029302
9.726437,-8.029277
9.769985,-8.029252
9.820782,-8.029223
9.871579,-8.029194
9.922376,-8.029165
9.981211,-8.029131
10.040045,-8.029098
10.098880,-8.029065
10.157715,-8.029032
10.216550,-8.028999
10.275384,-8.028966
10.314581,-8.028944
10.345416,-8.028927
10.376252,-8.028910
10.407088,-8.028893
10.444924,-8.028872
10.482761,-8.028851
10.520598,-8.028830
10.558435,-8.028809
10.601368,-8.028786
10.637048,-8.028766
10.672727,-8.028746
10.708407,-8.028727
10.744086,-8.028707
10.786858,-8.028684
10.829630,-8.028661
10.865062,-8.028642
10.900494,-8.028623
10.935925,-8.028603
10.971357,-8.028584
11.016885,-8.028560
11.053778,-8.028540
11.090672,-8.028520
11.127565,-8.028500
11.164458,-8.028481
11.215220,-8.028453
11.256394,-8.028432
11.297567,-8.028410
11.338740,-8.028388
11.379914,-8.028366
11.431343,-8.028339
11.482773,-8.028312
11.493059,-8.028306
11.503345,-8.028301
11.513631,-8.028295
11.534203,-8.028284
11.554774,-8.028274
11.575346,-8.028263
11.611918,-8.028244
11.648491,-8.028225
11.685063,-8.028205
11.730219,-8.028182
11.775375,-8.028158
11.820531,-8.028135
11.884498,-8.028102
11.935763,-8.028075
11.987029,-8.028049
12.038294,-8.028022
12.089559,-8.027996
12.150373,-8.027965
12.199753,-8.027939
12.249133,-8.027914
12.256964,-8.027910
12.264795,-8.027906
12.272626,-8.027902
12.288288,-8.027894
12.303951,-8.027886
12.319613,-8.027878
12.350631,-8.027862
12.381650,-8.027847
12.412668,-8.027831
12.443687,-8.027815
12.479070,-8.027797
12.514454,-8.027779
12.549837,-8.027761
12.585221,-8.027743
12.620604,-8.027726
12.655988,-8.027708
12.691371,-8.027690
12.726755,-8.027672
12.762138,-8.027654
12.797522,-8.027637
12.832905,-8.027619
12.874789,-8.027598
12.916672,-8.027577
12.958555,-8.027556
13.000439,-8.027535
13.042322,-8.027515
13.084205,-8.027494
13.126089,-8.027473
13.167972,-8.027452
13.209856,-8.027432
13.259445,-8.027407
13.309034,-8.027383
13.358624,-8.027358
13.408213,-8.027334
13.457802,-8.027310
13.507392,-8.027285
13.556981,-8.027261
13.606571,-8.027237
13.656160,-8.027212
13.723618,-8.027180
13.775342,-8.027154
13.827065,-8.027129
13.878788,-8.027104
13.930511,-8.027079
13.982234,-8.027054
14.033958,-8.027029
14.085681,-8.027004
14.137404,-8.026979
14.204574,-8.026947
14.271743,-8.026915
14.338913,-8.026883
14.406082,-8.026851
14.473252,-8.026819
14.552251,-8.026781
14.612711,-8.026752
14.673171,-8.026723
14.733630,-8.026695
14.794090,-8.026666
14.806182,-8.026660
14.818273,-8.026655
14.830365,-8.026649
14.842457,-8.026643
14.866641,-8.026632
14.890825,-8.026620
14.915009,-8.026609
14.939193,-8.026598
14.975966,-8.026580
15.006126,-8.026566
15.036286,-8.026552
15.066445,-8.026538
15.103355,-8.026520
15.140265,-8.026503
15.177175,-8.026486
15.214085,-8.026468
15.258849,-8.026447
15.303614,-8.026426
15.348378,-8.026405
15.393143,-8.026385
15.437908,-8.026364
15.486137,-8.026341
15.534366,-8.026319
15.573854,-8.026300
15.613343,-8.026282
15.652832,-8.026264
15.692320,-8.026245
15.745809,-8.026221
15.799299,-8.026196
15.852788,-8.026171
15.896768,-8.026151
15.940749,-8.026131
15.984730,-8.026110
