0.009,0.606
0.01,0.587
0.012,0.57
0.014,0.556
0.016,0.544
0.018,0.533
0.02,0.524
0.022,0.516
0.024,0.509
0.026,0.502
0.028,0.496
0.03,0.491
0.032,0.486
0.034,0.481
0.036,0.477
0.038,0.473
0.041,0.469
0.043,0.465
0.045,0.462
0.047,0.459
0.049,0.456
0.051,0.453
0.053,0.451
0.055,0.448
0.057,0.446
0.059,0.443
0.061,0.441
0.063,0.439
0.066,0.437
0.068,0.435
0.07,0.433
0.072,0.431
0.074,0.43
0.076,0.428
0.078,0.426
0.08,0.425
0.083,0.423
0.085,0.422
0.087,0.42
0.089,0.419
0.091,0.417
0.093,0.416
0.095,0.415
0.097,0.414
0.099,0.412
0.101,0.411
0.104,0.41
0.106,0.409
0.108,0.408
0.11,0.407
0.112,0.406
0.114,0.405
0.116,0.404
0.119,0.403
0.122,0.401
0.127,0.399
0.134,0.397
0.145,0.393
0.155,0.389
0.166,0.386
0.177,0.383
0.188,0.38
0.198,0.378
0.209,0.376
0.22,0.373
0.231,0.371
0.242,0.37
0.253,0.368
0.264,0.366
0.275,0.365
0.286,0.363
0.297,0.362
0.308,0.361
0.319,0.36
0.33,0.358
0.341,0.357
0.352,0.356
0.363,0.356
0.374,0.355
0.385,0.354
0.396,0.353
0.407,0.353
0.418,0.352
0.429,0.352
0.441,0.351
0.452,0.351
0.463,0.35
0.474,0.35
0.485,0.35
0.497,0.349
0.508,0.349
0.519,0.349
0.53,0.349
0.542,0.349
0.553,0.349
0.564,0.349
0.575,0.349
0.587,0.349
0.598,0.349
0.609,0.349
0.62,0.349
0.632,0.349
0.643,0.349
0.654,0.35
0.666,0.35
0.677,0.35
0.688,0.351
0.7,0.351
0.711,0.351
0.722,0.352
0.733,0.352
0.745,0.353
0.756,0.354
0.767,0.354
0.778,0.355
0.79,0.356
0.801,0.357
0.812,0.357
0.824,0.358
0.835,0.359
0.846,0.361
0.857,0.362
0.869,0.363
0.88,0.364
0.891,0.366
0.902,0.368
0.914,0.369
0.925,0.371
0.936,0.372
0.947,0.373
0.958,0.375
0.969,0.378
0.98,0.38
0.991,0.382
1.002,0.385
1.013,0.389
1.024,0.393
1.035,0.397
1.046,0.401
1.057,0.403
1.068,0.404
1.078,0.405
1.089,0.406
1.1,0.407
1.11,0.407
1.121,0.406
1.132,0.406
1.142,0.405
1.153,0.405
1.164,0.404
1.174,0.404
1.185,0.403
1.195,0.403
1.206,0.402
1.216,0.401
1.227,0.4
1.238,0.399
1.248,0.398
1.259,0.397
1.269,0.396
1.279,0.396
1.29,0.395
1.3,0.394
1.311,0.393
1.321,0.392
1.332,0.391
1.342,0.39
1.353,0.39
1.363,0.389
1.374,0.388
1.384,0.387
1.394,0.386
1.405,0.385
1.415,0.384
1.426,0.383
1.436,0.382
1.446,0.381
1.457,0.38
1.467,0.379
1.477,0.378
1.488,0.377
1.498,0.376
1.508,0.375
1.519,0.374
1.529,0.373
1.539,0.372
1.549,0.371
1.56,0.37
1.57,0.369
1.58,0.368
1.591,0.367
1.601,0.366
1.611,0.365
1.622,0.364
1.632,0.362
1.642,0.361
1.653,0.36
1.663,0.359
1.673,0.358
1.684,0.357
1.694,0.356
1.704,0.355
1.715,0.354
1.725,0.353
1.735,0.352
1.746,0.351
1.756,0.35
