Scalar,Scalar
18.529329,39.123778
18.580073,39.123781
18.630818,39.123783
18.681563,39.123786
18.689313,39.123786
18.697063,39.123786
18.704812,39.123787
18.712562,39.123787
18.720312,39.123788
18.735812,39.123788
18.751312,39.123789
18.766812,39.123790
18.782312,39.123790
18.817432,39.123792
18.852553,39.123794
18.887674,39.123796
18.922795,39.123797
18.972782,39.123800
19.022768,39.123802
19.064008,39.123804
19.105248,39.123806
19.146488,39.123808
19.187728,39.123810
19.228968,39.123812
19.270208,39.123814
19.311449,39.123817
19.352689,39.123819
19.399700,39.123821
19.446712,39.123823
19.493724,39.123826
19.540735,39.123828
19.587747,39.123831
19.642698,39.123833
19.697649,39.123836
19.752600,39.123839
19.807550,39.123842
19.862501,39.123845
19.917452,39.123848
19.972403,39.123851
20.027354,39.123854
20.082305,39.123856
20.137256,39.123859
20.192207,39.123862
20.247157,39.123865
20.302108,39.123868
20.357059,39.123871
20.412010,39.123874
20.422120,39.123875
20.432230,39.123875
20.442340,39.123876
20.452449,39.123876
20.462559,39.123877
20.482779,39.123878
20.502999,39.123879
20.523218,39.123880
20.543438,39.123881
20.571283,39.123883
20.593575,39.123884
20.615867,39.123885
20.638159,39.123887
20.669701,39.123888
20.701242,39.123890
20.732783,39.123892
20.764325,39.123894
20.804514,39.123896
20.844704,39.123898
20.884894,39.123900
20.925083,39.123903
20.965273,39.123905
21.005462,39.123907
21.045652,39.123910
21.085842,39.123912
21.132221,39.123915
21.170049,39.123917
21.207877,39.123919
21.245705,39.123921
21.283533,39.123923
21.321361,39.123926
21.370475,39.123928
21.406928,39.123931
21.443380,39.123933
21.479832,39.123935
21.516285,39.123937
21.552737,39.123939
21.601641,39.123942
21.638457,39.123944
21.675272,39.123946
21.712087,39.123949
21.748902,39.123951
21.785717,39.123953
21.832437,39.123956
21.869445,39.123958
21.906453,39.123960
21.943461,39.123963
21.980469,39.123965
22.017477,39.123967
22.062010,39.123970
22.106543,39.123973
22.151076,39.123976
22.195609,39.123978
22.240142,39.123981
22.285481,39.123984
22.330820,39.123987
22.376159,39.123990
22.421497,39.123993
22.466836,39.123995
22.499733,39.123998
22.532629,39.124000
22.565525,39.124002
22.598421,39.124004
22.631317,39.124006
22.664213,39.124008
22.697109,39.124010
22.730005,39.124013
22.767005,39.124015
22.804004,39.124017
22.841004,39.124020
22.878003,39.124022
22.915002,39.124025
22.960210,39.124028
22.997675,39.124030
23.035140,39.124033
23.072605,39.124035
23.110071,39.124038
23.147536,39.124040
23.189201,39.124043
23.230865,39.124046
23.238740,39.124047
23.246615,39.124047
23.254490,39.124048
23.262365,39.124048
23.278115,39.124049
23.293865,39.124050
23.309615,39.124051
23.325365,39.124053
23.361626,39.124055
23.397887,39.124058
23.434148,39.124060
23.470409,39.124063
23.506670,39.124065
23.542931,39.124068
23.579191,39.124070
23.615452,39.124073
23.651713,39.124075
23.687974,39.124078
23.724235,39.124081
23.760496,39.124083
23.796757,39.124086
23.833018,39.124088
23.869279,39.124091
23.905540,39.124094
23.941801,39.124096
23.978061,39.124099
24.014322,39.124102
24.050583,39.124104
24.086844,39.124107
24.123105,39.124110
24.159366,39.124112
24.202322,39.124116
24.245278,39.124119
24.276825,39.124121
24.308372,39.124124
24.339919,39.124126
24.371466,39.124129
24.403013,39.124131
24.434559,39.124133
24.466106,39.124136
24.497653,39.124138
24.529200,39.124141
24.560747,39.124143
24.592293,39.124146
24.623840,39.124148
24.655387,39.124151
24.686934,39.124153
24.723821,39.124156
24.760708,39.124159
24.797595,39.124162
24.834482,39.124165
