height,pressure,temperature,wind_u,wind_v
232.0,100000.0,298.85,-1.3000002,0.19999808
356.0,98658.390625,299.576,-1.3000002,0.19999808
436.0,97758.390625,296.876,-1.4000002,0.19999798
451.0,97500.0,296.62057,-1.4507775,0.2072518
476.0,97310.34375,296.376,-1.5000002,0.19999757
536.0,96641.21875,295.776,-1.5000002,0.19999757
677.0,95000.0,294.25604,-1.5053766,0.32258028
905.3748779296875,92500.0,291.90625,-1.7302982,-0.042873662
1138.9796142578125,90000.0,289.55646,-1.95522,-0.40832883
1623.0,85000.0,284.8569,-2.4050639,-1.1392388
