altitude,speed,direction,stddev
241.0,2.2022717,272.6025,
353.0,2.2022717,272.6025,
433.0,3.1064448,273.6913,
453.757568359375,3.8055394,292.36212,
473.0,4.86621,279.46225,
533.0,5.515433,292.3802,
671.0,5.588296,300.01828,
894.0,5.7081738,310.2363,
1122.0,5.4204006,305.39487,
1592.0,6.0614276,298.70584,
