0.005,0.671
0.007,0.645
0.008,0.619
0.01,0.598
0.012,0.579
0.014,0.564
0.016,0.551
0.018,0.54
0.02,0.53
0.022,0.521
0.024,0.514
0.026,0.507
0.028,0.501
0.03,0.495
0.032,0.49
0.034,0.486
0.036,0.481
0.038,0.477
0.04,0.473
0.042,0.47
0.045,0.466
0.047,0.463
0.049,0.46
0.051,0.457
0.053,0.454
0.055,0.452
0.057,0.449
0.059,0.447
0.061,0.445
0.063,0.443
0.066,0.441
0.068,0.439
0.07,0.437
0.072,0.435
0.074,0.433
0.076,0.431
0.078,0.43
0.08,0.428
0.082,0.427
0.085,0.425
0.087,0.424
0.089,0.422
0.091,0.421
0.093,0.42
0.095,0.418
0.097,0.417
0.099,0.416
0.102,0.415
0.104,0.413
0.106,0.412
0.108,0.411
0.11,0.41
0.112,0.409
0.114,0.408
0.116,0.407
0.119,0.406
0.122,0.405
0.127,0.403
0.134,0.4
0.144,0.396
0.155,0.392
0.166,0.389
0.177,0.386
0.188,0.384
0.198,0.381
0.209,0.379
0.22,0.377
0.231,0.375
0.242,0.373
0.253,0.371
0.263,0.369
0.274,0.368
0.285,0.367
0.296,0.365
0.307,0.364
0.318,0.363
0.329,0.362
0.34,0.361
0.352,0.36
0.363,0.359
0.374,0.358
0.385,0.358
0.396,0.357
0.407,0.356
0.418,0.356
0.429,0.355
0.44,0.355
0.452,0.355
0.463,0.354
0.474,0.354
0.485,0.354
0.496,0.354
0.508,0.353
0.519,0.353
0.53,0.353
0.541,0.353
0.553,0.353
0.564,0.353
0.575,0.354
0.586,0.354
0.598,0.354
0.609,0.354
0.62,0.355
0.632,0.355
0.643,0.355
0.654,0.356
0.665,0.356
0.677,0.357
0.688,0.357
0.699,0.358
0.711,0.359
0.722,0.359
0.733,0.36
0.745,0.361
0.756,0.362
0.767,0.363
0.778,0.364
0.79,0.365
0.801,0.367
0.812,0.368
0.823,0.369
0.834,0.371
0.846,0.373
0.857,0.375
0.868,0.377
0.879,0.379
0.89,0.382
0.901,0.384
0.912,0.385
0.923,0.387
0.935,0.388
0.946,0.389
0.957,0.391
0.968,0.393
0.979,0.395
0.99,0.397
1.001,0.399
1.011,0.403
1.022,0.407
1.033,0.41
1.044,0.414
1.054,0.417
1.065,0.418
1.076,0.42
1.086,0.421
1.097,0.422
1.108,0.422
1.118,0.421
1.129,0.421
1.139,0.421
1.15,0.42
1.16,0.42
1.171,0.419
1.181,0.419
1.192,0.419
1.202,0.418
1.213,0.417
1.223,0.416
1.233,0.415
1.244,0.414
1.254,0.414
1.264,0.413
1.275,0.412
1.285,0.411
1.295,0.41
1.306,0.409
1.316,0.409
1.326,0.408
1.337,0.407
1.347,0.406
1.357,0.405
1.367,0.405
1.377,0.404
1.388,0.403
1.398,0.403
1.408,0.402
1.418,0.4
1.428,0.399
1.439,0.398
1.449,0.397
1.459,0.396
1.469,0.395
1.479,0.394
1.489,0.393
1.499,0.392
1.509,0.391
1.52,0.39
1.53,0.389
1.54,0.388
1.55,0.387
1.56,0.387
1.57,0.386
1.58,0.385
1.59,0.384
1.6,0.383
1.611,0.382
1.621,0.381
1.631,0.38
1.641,0.379
1.651,0.378
1.661,0.377
1.671,0.376
1.681,0.375
1.691,0.374
1.701,0.372
1.711,0.371
1.721,0.371
1.731,0.37
1.741,0.369
