# Altitude (m),Latitude (° N),Longitude (° E)
0,47.21415,9.00425
0,47.21415,9.00425
3.820716346618737e-5,47.214149999713406,9.0042499999705
5.562636104631547e-4,47.21414999828033,9.004249999822983
0.00228474643716,47.214149995127364,9.004249999498404
0.005954435519992,47.214149989680536,9.004249998937697
0.012296309836662,47.21414998136533,9.004249998081775
0.020893036484122,47.2141499709547,9.004249997010177
0.034209500869647,47.21414995608549,9.004249995479622
0.051601265439387,47.214149938017634,9.004249993619778
0.073074567577755,47.21414991674623,9.004249991430145
0.098635641667266,47.214149892266384,9.004249988910216
0.128290719029014,47.2141498645732,9.00424998605949
0.162046027952987,47.2141498336618,9.00424998287746
0.199907793751258,47.214149799527284,9.004249979363626
0.24188223881391,47.21414976216479,9.004249975517485
0.287975582661327,47.2141497215694,9.004249971338533
0.33819404199099,47.21414967773627,9.004249966826269
0.392543830718588,47.21414963066051,9.004249961980191
0.451031160013767,47.214149580337256,9.004249956799798
0.513662238331062,47.2141495267616,9.004249951284585
0.580443271436522,47.21414946992871,9.004249945434056
0.651380117022674,47.21414940983398,9.00424993924773
0.726477248134209,47.21414934647387,9.004249932725253
0.80573878876373,47.214149279845174,9.004249925866288
0.889168859188475,47.21414920994466,9.004249918670503
0.976771575989702,47.21414913676908,9.004249911137563
1.068551052069876,47.21414906031521,9.00424990326714
1.164511396667922,47.214148980579836,9.004249895058903
1.264656715372684,47.21414889755972,9.00424988651251
1.368991110134807,47.214148811251654,9.004249877627641
1.477518679277153,47.214148721652414,9.00424986840396
1.590243517503886,47.21414862875878,9.004249858841137
1.707169715908352,47.214148532567556,9.004249848938839
1.828301361979841,47.21414843307553,9.004249838696742
1.966408338730081,47.214148319818044,9.004249827037563
2.096384376152438,47.214148213384156,9.004249816080831
2.230576484106634,47.214148103641136,9.004249804783438
2.368986708863127,47.21414799058735,9.004249793145217
2.511617092037842,47.21414787422123,9.004249781166004
2.65846967060106,47.21414775454115,9.004249768845636
2.80954647688563,47.21414763154552,9.004249756183947
2.96484953859453,47.21414750523277,9.004249743180772
3.12438087880783,47.21414737560129,9.00424972983595
3.2881425159891,47.21414724264952,9.004249716149317
3.456136463991268,47.21414710637582,9.004249702120712
3.628364732061998,47.21414696677867,9.004249687749969
3.804829324848588,47.214146823856495,9.004249673036929
3.98553224240242,47.2141466776077,9.004249657981429
4.189203098262534,47.214146512889926,9.004249641024645
4.378812908270297,47.214146359650215,9.004249625249463
4.572666738125806,47.21414620307942,9.004249609131358
4.770766092928219,47.214146043176385,9.004249592670215
4.973112472951542,47.2141458799399,9.00424957586591
5.179707373648447,47.2141457133688,9.00424955871832
5.39055228565377,47.214145543461925,9.004249541227324
5.605648694787727,47.21414537021809,9.004249523392808
5.824998082058828,47.214145193636156,9.004249505214647
6.161991175692745,47.21414492162521,9.004249477209374
6.685408104664663,47.21414449622763,9.004249433398876
7.255072290733128,47.21414402964769,9.004249385328206
8.153573414811493,47.21414328714204,9.004249308787244
9.51806576457672,47.21414214668444,9.004249191118268
10.987258845496918,47.21414090469551,9.004249062823972
11.162883499214862,47.214140755399804,9.004249047391491
11.42888825827947,47.214140528965466,9.004249023980957
11.833659103063502,47.21414018372231,9.004248988276983
12.45373598618915,47.21413965332015,9.004248933400874
13.41276137809798,47.214138829656356,9.00424884812761
14.91580138765637,47.214137531529865,9.004248713599386
15.892972430173266,47.21413668339169,9.004248625619867
17.414220217938528,47.2141353572664,9.004248487932916
19.36431096977956,47.21413364834426,9.004248310302808
21.416990024610566,47.21413184018379,9.00424812216203
23.56194568204207,47.2141299419425,9.004247924503282
25.80255048834831,47.21412795068398,9.004247717095144
27.710383101288173,47.21412624916039,9.00424753989994
30.121873195208266,47.21412409129003,9.004247315357306
32.62485044453569,47.21412184372763,9.004247081861617
34.69176386102203,47.214119982062726,9.004246888893011
37.354334374036775,47.21411757663688,9.004246640356842
40.102455670868,47.214115085542865,9.004246384178462
42.47527159138748,47.21411292785548,9.004246163513155
45.37468965505839,47.21411028271334,9.004245894858503
48.3531478669921,47.214107555467926,9.004245620386115
50.852930258469506,47.21410525852313,9.004245391502597
53.969704224364804,47.2141023841163,9.004245108406765
57.159797795832304,47.214099429588586,9.004244821740622
59.76349188118999,47.21409700845395,9.004244590433565
63.081127678409,47.21409391032389,9.004244299613873
66.4669612864425,47.21409073277523,9.004244007820233
69.29284121591107,47.214088068107166,9.00424376851142
72.79776558410305,47.214084746607305,9.004243477472553
76.36569617749325,47.214081346007845,9.004243188247326
79.33730835234813,47.214078498406394,9.00424295312457
83.01587238681809,47.21407495355472,9.0042426696996
86.75305569965525,47.21407132935376,9.004242390772228
89.86022553262127,47.21406829843207,9.00424216597489
93.70018554112521,47.214064530511536,9.004241897220018
97.59434687557646,47.2140606844318,9.00424163498035
100.82683792211388,47.21405747286234,9.004241425201249
104.81500568782883,47.214053486969476,9.004241176169371
108.85044843594605,47.21404942764736,9.004240934808145
112.19205239498872,47.21404604657434,9.004240742680446
116.3034803811314,47.2140418624097,9.004240515429798
120.45090641515829,47.214037614931065,9.004240295814654
123.87572704665322,47.21403408753945,9.004240121285155
128.07792068605698,47.214029735088744,9.004239914997125
132.30416420666134,47.21402533073099,9.004239715666321
135.78458334754924,47.21402168335335,9.004239557190765
140.04317740631151,47.214017195605756,9.004239369629381
144.3119243033596,47.21401266976265,9.00423918768717
147.73020713774312,47.214009025862744,9.004239045637817
152.00250690047818,47.214004446893526,9.004238871774447
156.2704017502421,47.21399984517695,9.004238701446837
159.84926615177767,47.21399596513749,9.0042385606526
164.09950128830823,47.21399133221182,9.00423839525896
168.33646641369603,47.21398668709722,9.004238231958011
171.7995285081324,47.21398287091234,9.004238099390317
176.00750457048576,47.21397821044964,9.004237939077548
180.19733758648192,47.213973544710036,9.004237779996977
183.53521489734194,47.213969809612564,9.004237653430973
187.68899967840667,47.21396513893705,9.00423749591547
191.82127298178722,47.21396046673093,9.004237339266822
195.2751078662636,47.213956541057904,9.004237208469974
199.3653815648689,47.21395186675791,9.004237053765916
203.43104824045164,47.21394719239139,9.004236900082164
206.8261258176773,47.21394326669651,9.00423677166066
210.84295670032796,47.21393859491875,9.004236619445347
214.83252650726914,47.21393392461013,9.004236467988878
218.7948615171031,47.213929255243364,9.004236317311213
222.7299898395629,47.21392458641384,9.004236167364969
226.63794175943892,47.21391991785067,9.004236018040688
230.5187499197199,47.21391524942091,9.004235869174945
234.37244933436045,47.21391058112698,9.004235720560517
238.19907724107725,47.21390591309842,9.004235571957869
241.99867281219537,47.21390124557791,9.00423542310722
245.7712767614132,47.21389657890383,9.004235273740683
249.51693088265642,47.213891913489725,9.004235123593805
253.23567756266945,47.21388724980248,9.004234972415855
256.92755930717954,47.21388258834022,9.004234819978217
260.59261831767265,47.213877929611606,9.004234666080203
264.2308961798571,47.2138732741194,9.004234510550688
267.8424336927587,47.2138686223502,9.00423435324937
271.42727070554895,47.21386397476333,9.004234194071543
274.98544592695526,47.21385933177655,9.004234032951931
278.5169967649005,47.21385469375277,9.004233869866253
282.021959211007,47.21385006098903,9.004233704830938
285.5003677674377,47.213845433708244,9.004233537901445
288.9522554115337,47.21384081205402,9.004233369169118
292.3776535953192,47.21383619608879,9.004233198756802
295.7765922743656,47.213831585794935,9.004233026813663
299.149099963732,47.213826981079,9.004232853509228
302.4952038171214,47.21382238177841,9.004232679027147
305.8149297265178,47.213817787670024,9.004232503558882
309.10830244023185,47.213813198480594,9.004232327297602
312.3753456966667,47.21380861389768,9.004232150432589
315.61608237042157,47.2138040335811,9.004231973144309
318.8305346276163,47.21379945717413,9.004231795600363
322.0187240867282,47.21379488431421,9.004231617952296
325.18067197656126,47.21379031464221,9.004231440333575
328.3163992761831,47.21378574781008,9.004231262858987
331.42592682274204,47.213781183485764,9.004231085624673
334.50927541554836,47.21377662135728,9.004230908706873
337.5664659558039,47.213772061137774,9.004230732160122
340.5975195993764,47.213767502570974,9.004230556016413
343.6024578979009,47.21376294543573,9.0042303802854
346.58130291733397,47.21375838954942,9.004230204955382
349.5340773285124,47.213753834770145,9.004230029994853
352.46080446562127,47.21374928099761,9.004229855354495
355.3615083513931,47.21374472817282,9.004229680969585
358.2362136912655,47.213740176276666,9.004229506762611
361.0849458369163,47.21373562532772,9.004229332646073
363.90773072371303,47.21373107537891,9.004229158525327
366.7045947857905,47.21372652651375,9.004228984301394
369.4755648549842,47.21372197884209,9.004228809873712
372.22066804879455,47.21371743249541,9.004228635142649
374.93993165358967,47.21371288762209,9.004228460011742
377.6333830074329,47.21370834438275,9.004228284389649
380.30104960483317,47.213703802956196,9.004228108186572
382.9429592894512,47.21369926354986,9.004227931308064
385.55913970309405,47.213694726373916,9.004227753665809
388.14961814521746,47.21369019163458,9.004227575179895
390.71442154049475,47.21368565953254,9.004227395780038
393.25357637979977,47.2136811302599,9.004227215406866
395.7671086616354,47.21367660399711,9.004227034012645
398.2550438421361,47.21367208091012,9.004226851561736
400.7174067944809,47.2136675611481,9.004226668030729
403.1542217774365,47.2136630448413,9.00422648340836
405.56551241306875,47.21365853209967,9.004226297695185
407.95130167267445,47.21365402301191,9.004226110903055
410.3116118707935,47.21364951764485,9.004225923054367
412.6464646662438,47.21364501604359,9.004225734181155
414.95588106932445,47.21364051823172,9.00422554432408
417.239881454685,47.213636024212306,9.004225353531298
419.49848557919364,47.21363153396897,9.004225161857256
421.73171260435106,47.21362704746736,9.004224969361514
423.9395811223242,47.213622564656816,9.0042247761075
426.122109185398,47.2136180854723,9.004224582161331
428.27931433800666,47.21361360983636,9.004224387590682
430.41121365108734,47.21360913766114,9.004224192463742
432.51782375811075,47.213604668850515,9.004223996848243
434.5991608920136,47.21360020330206,9.0042238008106
436.65524092279315,47.21359574090904,9.004223604415138
438.6860793951926,47.21359128156217,9.004223407723465
440.6916915660074,47.21358682515142,9.004223210793945
442.67209244039117,47.21358237156744,9.004223013681289
444.6272968067513,47.21357792070305,9.004222816436247
446.55731926974903,47.21357347245435,9.004222619105436
448.46217428131087,47.21356902672178,9.00422242173119
450.3418761692199,47.21356458341096,9.004222224351558
452.1964391630251,47.21356014243334,9.004222027000313
454.02587741707845,47.21355570370678,9.004221829707054
455.83020503103546,47.213551267155886,9.004221632497334
457.60943606728614,47.21354683271228,9.004221435392834
459.3635845657798,47.213542400314736,9.004221238411526
461.09266455631644,47.21353796990919,9.004221041567872
462.79669006859643,47.21353354144882,9.004220844873036
464.47567514025855,47.213529114893845,9.004220648335073
466.1296338231339,47.21352469021139,9.004220451959176
467.758580187859,47.213520267375415,9.004220255747875
469.36252832723244,47.213515846366356,9.004220059701264
470.94149235822493,47.21351142717108,9.004219863817248
472.4954864232203,47.21350700978252,9.004219668091757
474.02452469040446,47.21350259419949,9.00421947251899
475.5286213534432,47.213498180426484,9.004219277091616
477.00779063059787,47.213493768473384,9.004219081800983
478.46204676344456,47.213489358355204,9.004218886637307
479.89140401526276,47.21348495009197,9.004218691589829
481.29587666916876,47.21348054370836,9.004218496646965
482.6754790261772,47.213476139233606,9.004218301796438
484.0302254034208,47.213471736701194,9.004218107025398
485.36013013252693,47.21346733614873,9.004217912320529
486.66520755841157,47.21346293761771,9.00421771766814
487.9454720386326,47.21345854115344,9.004217523054265
489.20093794350777,47.21345414680476,9.004217328464735
490.4316196571151,47.21344975462403,9.004217133885264
491.63753157928335,47.213445364667,9.004216939301514
492.81868812880344,47.21344097699268,9.00421674469916
493.97510374794535,47.213436591663296,9.004216550063957
495.10679290846656,47.21343220874426,9.004216355381768
496.21377011923465,47.21342782830418,9.004216160638638
497.29604993560514,47.21342345041475,9.004215965820816
498.3536469707501,47.21341907515101,9.004215770914797
499.38657590905393,47.213414702591145,9.004215575907356
500.39485152169436,47.21341033281673,9.004215380785558
501.37848868467285,47.213405965912806,9.004215185536795
502.33750239950297,47.213401601968016,9.004214990148789
503.2719078167535,47.21339724107471,9.004214794609602
504.18172026267143,47.21339288332922,9.004214598907646
505.06695526916394,47.21338852883204,9.00421440303168
505.9276286074659,47.21338417768805,9.004214206970802
506.7637563258115,47.213379830006744,9.004214010714456
507.57535479148873,47.21337548590267,9.00421381425241
508.36244073771496,47.21337114549555,9.004213617574743
509.1250313157628,47.21336680891078,9.004213420671839
509.8631441528297,47.21336247627971,9.004213223534355
510.57679741624446,47.213358147740074,9.004213026153213
511.2660098845992,47.213353823436385,9.004212828519567
511.9308010264949,47.21334950352034,9.004212630624783
512.571191087653,47.21334518815131,9.004212432460415
513.1872011871842,47.21334087749671,9.004212234018174
513.7788534238981,47.213336571732626,9.004212035289903
514.3461709936232,47.213332271044095,9.004211836267553
514.8891783185502,47.213327975625674,9.004211636943142
515.4079011896716,47.21332368568187,9.004211437308742
515.9023669235141,47.21331940142762,9.004211237356438
516.3726045343816,47.2133151230886,9.004211037078308
516.8186449233781,47.2133108509017,9.00421083646639
517.2405210855172,47.213306585115284,9.004210635512655
517.6382683362431,47.213302325989446,9.004210434208984
518.011924553453,47.21329807379616,9.004210232547146
518.3615303312406,47.213293828820234,9.004210030518754
518.6871290661636,47.21328959136044,9.004209828115224
518.9887629778593,47.213285361682274,9.00420962532986
519.2664712034557,47.21328113999674,9.004209422158695
519.5202958300938,47.21327692653103,9.004209218597351
519.7502829320276,47.213272721538445,9.004209014640608
519.956482858262,47.213268525299135,9.004208810282387
520.138950524645,47.21326433812089,9.004208605515734
520.297745708755,47.21326016033953,9.004208400332812
520.432933345897,47.21325599231941,9.004208194724903
520.5445838245286,47.21325183445341,9.004207988682419
520.6327732793903,47.21324768716301,9.004207782194898
520.6975838805955,47.213243550897914,9.004207575251035
520.7391041168466,47.21323942613568,9.004207367838692
520.7574290709026,47.21323531338092,9.004207159944926
520.7526606853453,47.21323121316437,9.004206951556014
520.7245991229329,47.21322712351229,9.004206742750522
520.6727097447653,47.21322303977437,9.004206533704176
520.5970484513522,47.21321896221223,9.004206324410688
520.4976783326889,47.21321489112776,9.004206114862384
