0.007,0.64
0.008,0.624
0.009,0.606
0.011,0.589
0.013,0.574
0.015,0.56
0.016,0.549
0.018,0.539
0.02,0.53
0.022,0.522
0.024,0.514
0.026,0.508
0.028,0.502
0.03,0.496
0.032,0.491
0.035,0.487
0.037,0.482
0.039,0.478
0.041,0.474
0.043,0.471
0.045,0.468
0.047,0.464
0.049,0.461
0.051,0.459
0.053,0.456
0.055,0.453
0.057,0.451
0.059,0.449
0.062,0.446
0.064,0.444
0.066,0.442
0.068,0.44
0.07,0.438
0.072,0.436
0.074,0.435
0.076,0.433
0.078,0.431
0.08,0.43
0.083,0.428
0.085,0.427
0.087,0.425
0.089,0.424
0.091,0.422
0.093,0.421
0.095,0.42
0.097,0.419
0.1,0.417
0.102,0.416
0.104,0.415
0.106,0.414
0.108,0.413
0.11,0.412
0.112,0.411
0.114,0.41
0.117,0.409
0.119,0.408
0.122,0.406
0.127,0.404
0.134,0.401
0.145,0.397
0.155,0.394
0.166,0.391
0.177,0.388
0.188,0.385
0.198,0.382
0.209,0.38
0.22,0.378
0.231,0.376
0.242,0.374
0.253,0.372
0.264,0.371
0.275,0.369
0.286,0.368
0.297,0.367
0.308,0.366
0.319,0.364
0.33,0.363
0.34,0.362
0.352,0.362
0.363,0.361
0.374,0.36
0.385,0.359
0.396,0.359
0.407,0.358
0.418,0.358
0.429,0.357
0.44,0.357
0.452,0.356
0.463,0.356
0.474,0.356
0.485,0.356
0.496,0.355
0.508,0.355
0.519,0.355
0.53,0.355
0.541,0.355
0.553,0.355
0.564,0.356
0.575,0.356
0.586,0.356
0.598,0.356
0.609,0.357
0.62,0.357
0.631,0.357
0.643,0.358
0.654,0.358
0.665,0.359
0.676,0.359
0.688,0.36
0.699,0.361
0.71,0.362
0.722,0.362
0.733,0.363
0.744,0.364
0.755,0.365
0.767,0.367
0.778,0.368
0.789,0.369
0.8,0.37
0.811,0.372
0.822,0.374
0.833,0.375
0.843,0.377
0.854,0.379
0.865,0.382
0.877,0.384
0.887,0.387
0.898,0.39
0.909,0.391
0.919,0.392
0.93,0.393
0.941,0.394
0.952,0.396
0.963,0.398
0.974,0.399
0.985,0.401
0.996,0.403
1.007,0.406
1.018,0.41
1.028,0.414
1.039,0.418
1.05,0.422
1.061,0.424
1.071,0.425
1.082,0.426
1.092,0.427
1.103,0.428
1.114,0.427
1.124,0.427
1.135,0.427
1.145,0.426
1.155,0.426
1.166,0.425
1.176,0.425
1.187,0.425
1.197,0.424
1.207,0.424
1.218,0.423
1.228,0.422
1.238,0.421
1.249,0.42
1.259,0.419
1.269,0.418
1.279,0.418
1.29,0.417
1.3,0.416
1.31,0.415
1.32,0.414
1.331,0.414
1.341,0.413
1.351,0.412
1.361,0.411
1.371,0.411
1.381,0.41
1.392,0.409
1.402,0.409
1.412,0.407
1.422,0.406
1.432,0.405
1.442,0.404
1.452,0.403
1.462,0.402
1.472,0.401
1.482,0.4
1.492,0.399
1.502,0.398
1.512,0.397
1.522,0.397
1.532,0.396
1.542,0.395
1.552,0.394
1.562,0.393
1.572,0.392
1.582,0.391
1.592,0.39
1.603,0.389
1.612,0.388
1.622,0.387
1.633,0.386
1.643,0.385
1.652,0.384
1.662,0.383
1.673,0.382
1.682,0.381
1.692,0.38
1.702,0.379
1.712,0.378
1.722,0.377
1.732,0.376
