time,lora:gps_altitude:sensor,lora:gps_latitude:sensor,lora:gps_longitude:sensor,lora:gps_status:sensor,lora:rcu_accel_x:sensor,lora:rcu_accel_y:sensor,lora:rcu_accel_z:sensor,lora:rcu_barometer:sensor,lora:rcu_gyro_x:sensor,lora:rcu_gyro_y:sensor,lora:rcu_gyro_z:sensor
0.0,,,,,,,,,,,
0.00015799999999899228,,,,,,,,,,,
0.0007729999999810389,,,,,,,,,,,
0.005198999999976195,,,,,,,,,,,
0.005241999999981317,,,,,,,,,,,
0.005439999999993006,,,,,,,,,,,
0.008444999999994707,,,,,,,,,,,
0.010127999999980375,,,,,,,,,,,
0.010133999999993648,,,,,,,,,,,
0.010866999999990412,,,,,,,,,,,
0.015223999999989246,,,,,,,,,,,
0.01523599999998737,,,,,,,,,,,
0.015490999999997257,,,,,,,,,,,
0.018456999999983736,,,,,,,,,,,
0.02010399999997503,,,,,,,,,,,
0.02010899999999083,,,,,,,,,,,
0.02086199999999394,,,,,,,,,,,
0.025214999999974452,,,,,,,,,,,
0.025224999999977626,,,,,,,,,,,
0.02542199999999184,,,,,,,,,,,
0.02845499999997969,,,,,,,,,,,
0.03006899999999746,,,,,,,,,,,
0.03013799999999378,,,,,,,,,,,
0.03086299999998232,,,,,,,,,,,
0.03531199999997625,,,,,,,,,,,
0.03531699999999205,,,,,,,,,,,
0.03541500000000042,,,,,,,,,,,
0.038439999999980046,,,,,,,,,,,
0.040131999999999834,,,,,,,,,,,
0.04013699999998721,,,,,,,,,,,
0.040906999999975824,,,,,,,,,,,
0.04523499999999103,,,,,,,,,,,
0.045218999999974585,,,,,,,,,,,
0.04543599999999515,,,,,,,,,,,
0.04856399999999894,,,,,,,,,,,
0.05012800000000084,,,,,,,,,,,
0.050132999999988215,,,,,,,,,,,
0.0508609999999976,,,,,,,,,,,
0.055216000000001486,,,,,,,,,,,
0.055227000000002135,,,,,,,,,,,
0.05543499999998858,,,,,,,,,,,
0.0584519999999884,,,,,,,,,,,
0.06012499999999932,,,,,,,,,,,
0.060129999999986694,,,,,,,,,,,
0.06086199999998598,,,,,,,,,,,
0.06522599999999557,,,,,,,,,,,
0.06526099999999246,,,,,,,,,,,
0.06543599999997696,,,,,,,,,,,
0.06836299999997664,,,,,,,,,,,
0.0699989999999957,,,,,,,,,,,
0.07010699999997883,,,,,,,,,,,
0.07086999999998511,,,,,,,,,,,
0.0751899999999921,,,,,,,,,,,
0.07523499999999217,,,,,,,,,,,
0.07542199999997479,,,,,,,,,,,
0.07846399999999676,,,,,,,,,,,
0.08012499999998113,,,,,,,,,,,
0.08012999999999693,,,,,,,,,,,
0.08086399999999117,,,,,,,,,,,
0.08521999999999252,,,,,,,,,,,
0.0852390000000014,,,,,,,,,,,
0.08543499999998971,,,,,,,,,,,
0.08848799999998391,,,,,,,,,,,
0.09016299999998978,,,,,,,,,,,
0.09016699999997968,,,,,,,,,,,
0.09086399999998207,,,,,,,,,,,
0.09516299999998523,,,,,,,,,,,
0.0951689999999985,,,,,,,,,,,
0.09543999999999642,,,,,,,,,,,
0.09839799999997467,,,,,,,,,,,
0.10002899999997794,,,,,,,,,,,
0.10010499999998501,,,,,,,,,,,
0.10086499999999887,,,,,,,,,,,
0.105243999999999,,,,,,,,,,,
0.1052609999999845,,,,,,,,,,,
0.10543599999999742,,,,,,,,,,,
0.10846099999997705,,,,,,,,,,,
0.11012699999997722,,,,,,,,,,,
0.11013199999999301,,,,,,,,,,,
